region_code,region,atc,year,patients,population,patients_per_100k,national_per_100k,expected_patients,gap,gap_pct,gap_category,brand,indication_short,healthcare_region
01,Stockholm,L01EF01,2024,155,2473307,6.266913084384591,7.112019501856397,176,-21,-11.931818181818182,Near expected (±20%),Ibrance,HR+/HER2- BC,Stockholm-Gotland
01,Stockholm,N07XX08,2024,82,2473307,3.3153991801260414,4.372994726905063,108,-26,-24.074074074074073,Moderate under-use (−50 to −20%),Vyndaqel,ATTR-CM,Stockholm-Gotland
01,Stockholm,L01XK04,2024,6,2473307,0.2425901839116616,0.29279230352928065,7,-1,-14.285714285714285,Near expected (±20%),Talzenna,BRCA-mut HER2- BC,Stockholm-Gotland
01,Stockholm,L01ED04,2024,9,2473307,0.36388527586749236,0.5194702159390463,13,-4,-30.76923076923077,Moderate under-use (−50 to −20%),Lorbrena/Lorviqua,ALK+ NSCLC,Stockholm-Gotland
01,Stockholm,L01EH03,2024,15,2473307,0.606475459779154,0.547804954990267,14,1,7.142857142857142,Near expected (±20%),Tukysa,HER2+ BC + brain mets,Stockholm-Gotland
01,Stockholm,N02CD06,2024,974,2473307,39.3804731883264,25.2651423206718,625,349,55.84,Severe over-use (≥+50%),Vydura,Acute migraine,Stockholm-Gotland
01,Stockholm,J05AE30,2024,267,2473307,10.795263184068942,6.318646808422218,156,111,71.15384615384616,Severe over-use (≥+50%),Paxlovid,COVID-19,Stockholm-Gotland
03,Uppsala,L01EF01,2024,43,407912,10.54148934083822,7.112019501856397,29,14,48.275862068965516,Moderate over-use (+20 to +50%),Ibrance,HR+/HER2- BC,Mellansverige
03,Uppsala,N07XX08,2024,12,407912,2.941810978838573,4.372994726905063,18,-6,-33.33333333333333,Moderate under-use (−50 to −20%),Vyndaqel,ATTR-CM,Mellansverige
03,Uppsala,L01XK04,2024,2,407912,0.49030182980642883,0.29279230352928065,1,1,100,Severe over-use (≥+50%),Talzenna,BRCA-mut HER2- BC,Mellansverige
03,Uppsala,L01ED04,2024,1,407912,0.24515091490321442,0.5194702159390463,2,-1,-50,Severe under-use (≤−50%),Lorbrena/Lorviqua,ALK+ NSCLC,Mellansverige
03,Uppsala,L01EH03,2024,1,407912,0.24515091490321442,0.547804954990267,2,-1,-50,Severe under-use (≤−50%),Tukysa,HER2+ BC + brain mets,Mellansverige
03,Uppsala,N02CD06,2024,69,407912,16.915413128321795,25.2651423206718,103,-34,-33.00970873786408,Moderate under-use (−50 to −20%),Vydura,Acute migraine,Mellansverige
03,Uppsala,J05AE30,2024,50,407912,12.257545745160721,6.318646808422218,26,24,92.3076923076923,Severe over-use (≥+50%),Paxlovid,COVID-19,Mellansverige
04,Sörmland,L01EF01,2024,20,301542,6.632575229984546,7.112019501856397,21,-1,-4.761904761904762,Near expected (±20%),Ibrance,HR+/HER2- BC,Mellansverige
