region,patients_2021,patients_2024,change_abs,change_pct,cagr,cagr_pct,healthcare_region
Stockholm,232,155,-77,-33.189655172413794,-0.12579241339380964,-12.579241339380964,Stockholm-Gotland
Västra Götaland,219,140,-79,-36.07305936073059,-0.1385541688899028,-13.85541688899028,Västra
Skåne,141,148,7,4.964539007092199,0.016281923537955878,1.6281923537955878,Södra
Östergötland,72,35,-37,-51.388888888888886,-0.2137176699472444,-21.37176699472444,Sydöstra
Uppsala,60,43,-17,-28.333333333333332,-0.10510434029879145,-10.510434029879146,Mellansverige
Halland,52,58,6,11.538461538461538,0.03707034701231393,3.707034701231393,Västra
Sörmland,33,20,-13,-39.39393939393939,-0.1537370025285315,-15.373700252853151,Mellansverige
Västmanland,30,11,-19,-63.33333333333333,-0.2842569436603529,-28.42569436603529,Mellansverige
Gävleborg,26,5,-21,-80.76923076923077,-0.4227921633678402,-42.27921633678402,Mellansverige
Jönköping,24,13,-11,-45.83333333333333,-0.1848377922485419,-18.483779224854192,Sydöstra
Kalmar,24,12,-12,-50,-0.2062994740159002,-20.62994740159002,Sydöstra
Örebro,21,13,-8,-38.095238095238095,-0.14773493673718796,-14.773493673718797,Mellansverige
Kronoberg,20,23,3,15,0.04768955317164725,4.768955317164725,Södra
Västernorrland,18,20,2,11.11111111111111,0.03574416865128627,3.5744168651286268,Norra
Dalarna,16,14,-2,-12.5,-0.04353440861380542,-4.353440861380542,Mellansverige
Värmland,10,6,-4,-40,-0.1565673346982508,-15.65673346982508,Mellansverige
Jämtland Härjedalen,8,7,-1,-12.5,-0.04353440861380542,-4.353440861380542,Norra
Blekinge,7,10,3,42.857142857142854,0.12624788044360602,12.624788044360603,Södra
Gotland,6,6,0,0,0,0,Stockholm-Gotland
Norrbotten,6,2,-4,-66.66666666666666,-0.30663872564936534,-30.663872564936533,Norra
Västerbotten,6,12,6,100,0.2599210498948732,25.99210498948732,Norra
