term,estimate,std.error,statistic,p.value,conf.low,conf.high,brand,atc,sig,term_label
pct_65,0.19949467974839152,0.429474223895208,0.4645090872719485,0.6494244479570551,-0.721635918465881,1.120625277962664,Ibrance,L01EF01,FALSE,% 65+ population
utrikes_fodda_pct,-0.010776373190695044,0.27334757868991155,-0.03942370092445515,0.9691092656834562,-0.5970486211393817,0.5754958747579917,Ibrance,L01EF01,FALSE,% foreign-born
eftergymn_pct,0.4153352451611934,0.32933826478363315,1.2611205243158068,0.2278761648850031,-0.2910250809686919,1.1216955712910788,Ibrance,L01EF01,FALSE,% post-secondary educ. 25-64
hc_cost_per_inv,-0.04351219879403977,0.2005410472752569,-0.21697402793711443,0.8313586737181384,-0.47362996737110574,0.3866055697830262,Ibrance,L01EF01,FALSE,HC cost per capita
median_wait_spec,-0.24268960883586368,0.1345710575295453,-1.8034309404351734,0.0928774916766985,-0.5313158216042534,0.04593660393252599,Ibrance,L01EF01,FALSE,Median specialist wait (days)
specialist_lakare,-0.12786658017221952,0.21364132396688176,-0.5985105212699446,0.5590590359887315,-0.5860816478055224,0.33034848746108336,Ibrance,L01EF01,FALSE,Specialist physicians (#)
pct_65,0.36087523754361384,0.6046320625152787,0.596850977505836,0.5595084556929131,-0.9278674973354465,1.649617972422674,Vyndaqel,N07XX08,FALSE,% 65+ population
utrikes_fodda_pct,-0.16011873642633612,0.3696839523541369,-0.43312330818447636,0.6710886919241621,-0.9480814286723028,0.6278439558196306,Vyndaqel,N07XX08,FALSE,% foreign-born
eftergymn_pct,0.6276954907644381,0.465215522699897,1.3492574089565672,0.1972694957450771,-0.3638879236816106,1.6192789052104868,Vyndaqel,N07XX08,FALSE,% post-secondary educ. 25-64
hc_cost_per_inv,-0.04928264406939613,0.28313389031533487,-0.17406126837909988,0.8641447123667396,-0.6527682459145878,0.5542029577757956,Vyndaqel,N07XX08,FALSE,HC cost per capita
specialist_lakare,-0.22626924606813467,0.30342227982666,-0.7457239006885008,0.46736027369766575,-0.87299852651738,0.42046003438111057,Vyndaqel,N07XX08,FALSE,Specialist physicians (#)
pct_65,-0.12757063431177554,0.16661359848510393,-0.7656676013943783,0.45575403628689226,-0.48269911308692914,0.2275578444633781,Tukysa,L01EH03,FALSE,% 65+ population
eftergymn_pct,-0.08732629708194377,0.1464984291865632,-0.5960903305709527,0.5600032741743084,-0.39958030739686484,0.22492771323297728,Tukysa,L01EH03,FALSE,% post-secondary educ. 25-64
hc_cost_per_inv,-0.0709718051317913,0.10105441237071784,-0.702312778500274,0.49323942608886673,-0.28636418645616796,0.14442057619258536,Tukysa,L01EH03,FALSE,HC cost per capita
median_wait_spec,-0.04066596007405381,0.06405895625615532,-0.634820834598695,0.535109065745512,-0.17720439327526957,0.09587247312716193,Tukysa,L01EH03,FALSE,Median specialist wait (days)
specialist_lakare,0.0027413811535526625,0.09898730325193797,0.027694270512405254,0.9782710934901109,-0.20824506137897816,0.21372782368608348,Tukysa,L01EH03,FALSE,Specialist physicians (#)
pct_65,0.11550686323227537,0.3487980722909931,0.3311568279996428,0.7451070904460063,-0.6279386294444874,0.8589523559090381,Vydura,N02CD06,FALSE,% 65+ population
utrikes_fodda_pct,0.21181331276976686,0.2132620116135173,0.9932069531146699,0.3363617838113542,-0.24274390496902806,0.6663705305085618,Vydura,N02CD06,FALSE,% foreign-born
eftergymn_pct,0.09031534749333245,0.2683719365502064,0.3365305204944052,0.7411327956218017,-0.4817058947076017,0.6623365896942667,Vydura,N02CD06,FALSE,% post-secondary educ. 25-64
hc_cost_per_inv,0.18052936639849892,0.1633333084114155,1.1052820037402828,0.286451053124658,-0.16760733958978724,0.5286660723867851,Vydura,N02CD06,FALSE,HC cost per capita
specialist_lakare,0.33320685749307666,0.17503720502913775,1.9036344726688765,0.07632448008222475,-0.03987611362233218,0.7062898286084855,Vydura,N02CD06,FALSE,Specialist physicians (#)
pct_65,-0.4719190206479685,0.5274503494854463,-0.8947174290591495,0.3860622906707487,-1.603187508761947,0.6593494674660101,Paxlovid,J05AE30,FALSE,% 65+ population
utrikes_fodda_pct,-0.1982184640752018,0.3357064705847719,-0.5904517232864837,0.5642981578448781,-0.9182372332332903,0.5218003050828867,Paxlovid,J05AE30,FALSE,% foreign-born
eftergymn_pct,-0.06353118170074232,0.4044703341764302,-0.1570725374213229,0.8774304387600045,-0.9310337701000154,0.8039714066985307,Paxlovid,J05AE30,FALSE,% post-secondary educ. 25-64
hc_cost_per_inv,-0.009481117545783471,0.24629055618788648,-0.03849566013627683,0.9698360495587293,-0.5377218238174344,0.5187595887258674,Paxlovid,J05AE30,FALSE,HC cost per capita
median_wait_spec,0.09900254665320118,0.1652708064312233,0.5990322718876588,0.5587207450357778,-0.25546807888192674,0.4534731721883291,Paxlovid,J05AE30,FALSE,Median specialist wait (days)
specialist_lakare,0.0025887211721009255,0.2623794042139314,0.009866327655772129,0.9922671543334156,-0.5601591321697437,0.5653365745139456,Paxlovid,J05AE30,FALSE,Specialist physicians (#)
