region,pct_65,log_pop,utrikes_fodda_pct,eftergymn_pct,premature_mort,breast_ca_rate,median_wait_spec,rx_L01EF01,rx_N07XX08,rx_L01XK04,rx_L01ED04,rx_L01EH03,rx_N02CD06,rx_J05AE30,cluster,cluster_label
Stockholm,16.90396703684581,6.393278026644713,27.56,58.62,153.4,207.87,24.5,6.266913084384591,3.3153991801260414,0.2425901839116616,0.36388527586749236,0.606475459779154,39.3804731883264,10.795263184068942,1,D. Affluent mid-size
Gotland,27.467156517032688,4.785123318048333,9.04,41.15,180.2,185.7,54,9.840743960243394,3.2802479867477983,0,0,0,24.601859900608485,1.6401239933738991,2,E. Mid-range standard
Uppsala,19.093088705407048,5.610566481627772,20.12,52.8,155.4,191.08,54,10.54148934083822,2.941810978838573,0.49030182980642883,0.24515091490321442,0.24515091490321442,16.915413128321795,12.257545745160721,1,D. Affluent mid-size
Sörmland,23.586432404109544,5.479347810996517,20.78,38.95,199.7,130.8,42.5,6.632575229984546,2.321401330494591,0,0.33162876149922726,0.33162876149922726,21.555869497449773,9.617234083477591,2,E. Mid-range standard
Västmanland,22.289246615781874,5.448950445328706,22.43,42.6,189.4,188.85,41,3.9123908976447406,2.8453751982870843,0,0.35567189978588554,1.4226875991435421,9.603141294218908,3.9123908976447406,2,E. Mid-range standard
Örebro,22.156141062018648,5.489079162497792,17.45,42.06,190.3,175.93,64,4.215646534252127,0,0.3242805026347791,0.9728415079043372,1.2971220105391164,6.485610052695582,9.079854073773815,2,E. Mid-range standard
Dalarna,26.063529066886293,5.4571943503612,13.06,37.87,168.5,165.28,50.5,4.885777501692573,2.7918728581100414,0,0.34898410726375517,0,5.932729823483839,3.489841072637552,2,E. Mid-range standard
Gävleborg,25.356517827648496,5.454170799773956,14.08,37.67,191.2,188.8,47,1.7571110283316582,3.162799850996985,1.054266616998995,1.054266616998995,0.35142220566633164,9.839821758657287,4.568488673662311,2,E. Mid-range standard
Värmland,25.13726957061796,5.452375326123613,14.23,41.85,193.3,179.74,73,2.1172684414081244,2.4701465149761455,0,1.411512294272083,0.35287807356802076,8.82195183920052,4.234536882816249,2,E. Mid-range standard
Östergötland,21.42826905085449,5.674352176353782,17.37,46.65,175,206.9,69,7.408254065014837,2.3283084204332347,0.6349932055727004,1.4816508130029675,0.42332880371513354,11.21821329845104,9.524898083590505,1,D. Affluent mid-size
Jönköping,21.58406957668597,5.568212287858347,19.46,41.39,169.6,220.6,32,3.5134280517500924,1.6215821777308117,0.5405273925769374,0.2702636962884687,0.5405273925769374,23.242677880808305,0.8107910888654059,2,E. Mid-range standard
Kalmar,26.335893355848544,5.391556092429633,15.12,39.88,174.4,161.77,41,4.871078781580827,4.059232317984023,0,2.0296161589920114,0.4059232317984023,10.148080794960057,2.0296161589920114,2,E. Mid-range standard
Skåne,20.08664269024923,6.15491854971809,23.97,50.44,174.4,253.28,53,10.359604263117149,3.4998663051071452,0.4899812827150003,0.699973261021429,0.27998930440857156,30.44883685443216,3.9198502617200024,1,D. Affluent mid-size
Blekinge,24.910477474669737,5.196516078868937,15.08,43.65,186.6,200.38,50,6.360392563429015,3.1801962817145073,0.6360392563429015,0,0,13.35682438320093,1.272078512685803,2,E. Mid-range standard
Halland,23.065777195616015,5.537912238103686,15.05,45.69,153.7,203.54,31.5,16.8079890110527,6.955029935608015,0.28979291398366724,1.4489645699183364,0.8693787419510018,24.63239768861172,6.955029935608015,1,D. Affluent mid-size
Kronoberg,22.04218322014645,5.3082463124347985,21.23,43.39,168.2,222.99,48.5,11.310492694897,7.3764082792806525,0,0,0,8.851689935136784,1.4752816558561306,2,E. Mid-range standard
Västra Götaland,20.28174305245707,6.248664887526056,20.83,49.53,182.9,181.7,53.5,7.8970183679006505,2.5947346065959285,0.2820363702821661,0.11281454811286645,0.9025163849029316,35.19813901121433,3.779287361781026,1,D. Affluent mid-size
Västernorrland,25.374599309196633,5.382841599043875,11.66,41.06,197.8,155.7,68.5,8.28301402314274,2.8990549080999592,0,0,0.41415070115713704,14.08112383934266,5.7981098161999185,2,E. Mid-range standard
Jämtland Härjedalen,24.373866108597625,5.123325597608999,10.67,43.06,174.5,236.41,65,5.269536807714602,7.527909725306574,0,0,0,9.033491670367889,10.539073615429205,2,E. Mid-range standard
Västerbotten,21.67405331189665,5.448919550961179,13.34,49.64,173.8,165.03,52,4.268366425029701,23.831712539749162,0,0.3556972020858084,0.7113944041716168,7.825338445887785,2.4898804146006586,2,E. Mid-range standard
Norrbotten,25.307296275440432,5.3955360621184365,12.94,40.8,204,148.79,112.5,0.8044405116241654,30.97095969753037,0,0.4022202558120827,0,8.044405116241654,3.2177620464966616,2,E. Mid-range standard
