region_code,region,atc,year,patients,population,hc_cost_per_capita,brand,annual_cost_sek,annual_cost_mnkr,cost_per_capita,pct_of_hc_budget
01,Stockholm,L01EF01,2024,155,2473307,35420.592,Ibrance,220000,34.1,13.7872087856461,0.03892427542048451
01,Stockholm,N07XX08,2024,82,2473307,35420.592,Vyndaqel,800000,65.6,26.523193441008335,0.07488071752445113
01,Stockholm,L01XK04,2024,6,2473307,35420.592,Talzenna,320000,1.92,0.7762885885173171,0.002191630756813204
01,Stockholm,L01ED04,2024,9,2473307,35420.592,Lorbrena/Lorviqua,350000,3.15,1.2735984655362234,0.003595644210396663
01,Stockholm,L01EH03,2024,15,2473307,35420.592,Tukysa,580000,8.7,3.5175576667190933,0.00993082686680983
01,Stockholm,N02CD06,2024,974,2473307,35420.592,Vydura,2500,2.435,0.98451182970816,0.002779490048354246
01,Stockholm,J05AE30,2024,267,2473307,35420.592,Paxlovid,5400,1.4418,0.5829442119397228,0.0016457777214444152
03,Uppsala,L01EF01,2024,43,407912,36093.569,Ibrance,220000,9.46,23.191276549844083,0.06425320962258978
03,Uppsala,N07XX08,2024,12,407912,36093.569,Vyndaqel,800000,9.6,23.534487830708585,0.0652041027882518
03,Uppsala,L01XK04,2024,2,407912,36093.569,Talzenna,320000,0.64,1.5689658553805723,0.004346940185883452
03,Uppsala,L01ED04,2024,1,407912,36093.569,Lorbrena/Lorviqua,350000,0.35,0.8580282021612504,0.002377232914155013
03,Uppsala,L01EH03,2024,1,407912,36093.569,Tukysa,580000,0.58,1.4218753064386436,0.003939414543456878
03,Uppsala,N02CD06,2024,69,407912,36093.569,Vydura,2500,0.1725,0.42288532820804486,0.0011716362219763993
03,Uppsala,J05AE30,2024,50,407912,36093.569,Paxlovid,5400,0.27,0.6619074702386789,0.0018338653909195813
04,Sörmland,L01EF01,2024,20,301542,37251.858,Ibrance,220000,4.4,14.591665505966,0.039170302608707463
04,Sörmland,N07XX08,2024,7,301542,37251.858,Vyndaqel,800000,5.6,18.57121064395673,0.04985311241108223
04,Sörmland,L01XK04,2024,0,301542,37251.858,Talzenna,320000,0,0,0
04,Sörmland,L01ED04,2024,1,301542,37251.858,Lorbrena/Lorviqua,350000,0.35,1.1607006652472955,0.0031158195256926393
04,Sörmland,L01EH03,2024,1,301542,37251.858,Tukysa,580000,0.58,1.9234468166955183,0.005163358071147802
04,Sörmland,N02CD06,2024,65,301542,37251.858,Vydura,2500,0.1625,0.5388967374362443,0.0014466304940715824
04,Sörmland,J05AE30,2024,29,301542,37251.858,Paxlovid,5400,0.1566,0.51933064050779,0.0013941066792099066
05,Östergötland,L01EF01,2024,35,472446,36806.322,Ibrance,220000,7.7,16.298158943032643,0.044280868224302994
05,Östergötland,N07XX08,2024,11,472446,36806.322,Vyndaqel,800000,8.8,18.626467363465878,0.05060670654206057
05,Östergötland,L01XK04,2024,3,472446,36806.322,Talzenna,320000,0.96,2.031978257832641,0.0055207316227702434
05,Östergötland,L01ED04,2024,7,472446,36806.322,Lorbrena/Lorviqua,350000,2.45,5.185777845510386,0.014089367162278224
05,Östergötland,L01EH03,2024,2,472446,36806.322,Tukysa,580000,1.16,2.455307061547775,0.006670884044180711
05,Östergötland,N02CD06,2024,53,472446,36806.322,Vydura,2500,0.1325,0.280455332461276,7.619759791844347e-4
05,Östergötland,J05AE30,2024,45,472446,36806.322,Paxlovid,5400,0.243,0.5143444965138873,0.001397435192013718
06,Jönköping,L01EF01,2024,13,370009,35904.532,Ibrance,220000,2.86,7.729541713850204,0.02152803917302196
06,Jönköping,N07XX08,2024,6,370009,35904.532,Vyndaqel,800000,4.8,12.972657421846495,0.036130974835841045
06,Jönköping,L01XK04,2024,2,370009,35904.532,Talzenna,320000,0.64,1.7296876562461994,0.004817463311445473
06,Jönköping,L01ED04,2024,1,370009,35904.532,Lorbrena/Lorviqua,350000,0.35,0.9459229370096403,0.002634550248446743
06,Jönköping,L01EH03,2024,2,370009,35904.532,Tukysa,580000,1.16,3.1350588769462364,0.00873165225199492
06,Jönköping,N02CD06,2024,86,370009,35904.532,Vydura,2500,0.215,0.5810669470202077,0.0016183665811887137
06,Jönköping,J05AE30,2024,3,370009,35904.532,Paxlovid,5400,0.0162,0.043782718798731926,1.2194204007096353e-4
07,Kronoberg,L01EF01,2024,23,203351,36075.554,Ibrance,220000,5.06,24.883083928773402,0.0689749183859336
07,Kronoberg,N07XX08,2024,15,203351,36075.554,Vyndaqel,800000,12,59.01126623424522,0.1635768815476686
07,Kronoberg,L01XK04,2024,0,203351,36075.554,Talzenna,320000,0,0,0
07,Kronoberg,L01ED04,2024,0,203351,36075.554,Lorbrena/Lorviqua,350000,0,0,0
07,Kronoberg,L01EH03,2024,0,203351,36075.554,Tukysa,580000,0,0,0
07,Kronoberg,N02CD06,2024,18,203351,36075.554,Vydura,2500,0.045,0.22129224837841957,6.134133058037574e-4
07,Kronoberg,J05AE30,2024,3,203351,36075.554,Paxlovid,5400,0.0162,0.07966520941623105,2.2082879008935265e-4
08,Kalmar,L01EF01,2024,12,246352,37539.78,Ibrance,220000,2.64,10.716373319477821,0.02854671316528179
08,Kalmar,N07XX08,2024,10,246352,37539.78,Vyndaqel,800000,8,32.47385854387218,0.08650519140994482
08,Kalmar,L01XK04,2024,0,246352,37539.78,Talzenna,320000,0,0,0
08,Kalmar,L01ED04,2024,5,246352,37539.78,Lorbrena/Lorviqua,350000,1.75,7.10365655647204,0.01892301062092543
08,Kalmar,L01EH03,2024,1,246352,37539.78,Tukysa,580000,0.58,2.3543547444307333,0.006271626377220999
