region,p2021,p2024,change_pct,scenario_status,cagr_2021_2024,scenario_cagr,p2025,p2026,p2027,scenario
Blekinge,7,10,42.857142857142854,Other,0.12624788044360602,0.12624788044360602,11,12,14,Status quo
Dalarna,16,14,-12.5,Other,-0.04353440861380542,-0.04353440861380542,13,12,11,Status quo
Gotland,6,6,0,Other,0,0,6,6,6,Status quo
Gävleborg,26,5,-80.76923076923077,Other,-0.4227921633678402,-0.25,4,3,2,Status quo
Halland,52,58,11.538461538461538,Ibrance champion,0.03707034701231393,0.03707034701231393,60,62,64,Status quo
Jämtland Härjedalen,8,7,-12.5,Other,-0.04353440861380542,-0.04353440861380542,7,7,7,Status quo
Jönköping,24,13,-45.83333333333333,Other,-0.1848377922485419,-0.1848377922485419,11,9,7,Status quo
Kalmar,24,12,-50,Other,-0.2062994740159002,-0.2062994740159002,10,8,6,Status quo
Kronoberg,20,23,15,Other,0.04768955317164725,0.04768955317164725,24,25,26,Status quo
Norrbotten,6,2,-66.66666666666666,Other,-0.30663872564936534,-0.25,2,2,2,Status quo
Skåne,141,148,4.964539007092199,Potential next-adopter,0.016281923537955878,0.016281923537955878,150,152,154,Status quo
Stockholm,232,155,-33.189655172413794,Kisqali-preferred (verified),-0.12579241339380964,-0.12579241339380964,136,119,104,Status quo
Sörmland,33,20,-39.39393939393939,Other,-0.1537370025285315,-0.1537370025285315,17,14,12,Status quo
Uppsala,60,43,-28.333333333333332,Potential next-adopter,-0.10510434029879145,-0.10510434029879145,38,34,30,Status quo
Värmland,10,6,-40,Other,-0.1565673346982508,-0.1565673346982508,5,4,3,Status quo
Västerbotten,6,12,100,Other,0.2599210498948732,0.25,15,19,24,Status quo
Västernorrland,18,20,11.11111111111111,Other,0.03574416865128627,0.03574416865128627,21,22,23,Status quo
Västmanland,30,11,-63.33333333333333,Other,-0.2842569436603529,-0.25,8,6,4,Status quo
Västra Götaland,219,140,-36.07305936073059,Kisqali-preferred (verified),-0.1385541688899028,-0.1385541688899028,121,104,90,Status quo
Örebro,21,13,-38.095238095238095,Other,-0.14773493673718796,-0.14773493673718796,11,9,8,Status quo
Östergötland,72,35,-51.388888888888886,Potential next-adopter,-0.2137176699472444,-0.2137176699472444,28,22,17,Status quo
Blekinge,7,10,42.857142857142854,Other,0.12624788044360602,0.12624788044360602,11,12,14,Spread to neighbours
Dalarna,16,14,-12.5,Other,-0.04353440861380542,-0.04353440861380542,13,12,11,Spread to neighbours
Gotland,6,6,0,Other,0,0,6,6,6,Spread to neighbours
Gävleborg,26,5,-80.76923076923077,Other,-0.4227921633678402,-0.25,4,3,2,Spread to neighbours
Halland,52,58,11.538461538461538,Ibrance champion,0.03707034701231393,0.03707034701231393,60,62,64,Spread to neighbours
Jämtland Härjedalen,8,7,-12.5,Other,-0.04353440861380542,-0.04353440861380542,7,7,7,Spread to neighbours
Jönköping,24,13,-45.83333333333333,Other,-0.1848377922485419,-0.1848377922485419,11,9,7,Spread to neighbours
Kalmar,24,12,-50,Other,-0.2062994740159002,-0.2062994740159002,10,8,6,Spread to neighbours
Kronoberg,20,23,15,Other,0.04768955317164725,0.04768955317164725,24,25,26,Spread to neighbours
Norrbotten,6,2,-66.66666666666666,Other,-0.30663872564936534,-0.25,2,2,2,Spread to neighbours
Skåne,141,148,4.964539007092199,Potential next-adopter,0.016281923537955878,-0.13,129,112,97,Spread to neighbours
Stockholm,232,155,-33.189655172413794,Kisqali-preferred (verified),-0.12579241339380964,-0.12579241339380964,136,119,104,Spread to neighbours
Sörmland,33,20,-39.39393939393939,Other,-0.1537370025285315,-0.1537370025285315,17,14,12,Spread to neighbours
Uppsala,60,43,-28.333333333333332,Potential next-adopter,-0.10510434029879145,-0.13,37,32,28,Spread to neighbours
Värmland,10,6,-40,Other,-0.1565673346982508,-0.1565673346982508,5,4,3,Spread to neighbours
Västerbotten,6,12,100,Other,0.2599210498948732,0.25,15,19,24,Spread to neighbours
Västernorrland,18,20,11.11111111111111,Other,0.03574416865128627,0.03574416865128627,21,22,23,Spread to neighbours
Västmanland,30,11,-63.33333333333333,Other,-0.2842569436603529,-0.25,8,6,4,Spread to neighbours
Västra Götaland,219,140,-36.07305936073059,Kisqali-preferred (verified),-0.1385541688899028,-0.1385541688899028,121,104,90,Spread to neighbours
Örebro,21,13,-38.095238095238095,Other,-0.14773493673718796,-0.14773493673718796,11,9,8,Spread to neighbours
Östergötland,72,35,-51.388888888888886,Potential next-adopter,-0.2137176699472444,-0.13,30,26,23,Spread to neighbours
Blekinge,7,10,42.857142857142854,Other,0.12624788044360602,0.12624788044360602,11,12,14,National spread
Dalarna,16,14,-12.5,Other,-0.04353440861380542,-0.04353440861380542,13,12,11,National spread
Gotland,6,6,0,Other,0,0,6,6,6,National spread
Gävleborg,26,5,-80.76923076923077,Other,-0.4227921633678402,-0.25,4,3,2,National spread
Halland,52,58,11.538461538461538,Ibrance champion,0.03707034701231393,-0.08,53,49,45,National spread
Jämtland Härjedalen,8,7,-12.5,Other,-0.04353440861380542,-0.04353440861380542,7,7,7,National spread
Jönköping,24,13,-45.83333333333333,Other,-0.1848377922485419,-0.1848377922485419,11,9,7,National spread
Kalmar,24,12,-50,Other,-0.2062994740159002,-0.2062994740159002,10,8,6,National spread
Kronoberg,20,23,15,Other,0.04768955317164725,0.04768955317164725,24,25,26,National spread
Norrbotten,6,2,-66.66666666666666,Other,-0.30663872564936534,-0.25,2,2,2,National spread
Skåne,141,148,4.964539007092199,Potential next-adopter,0.016281923537955878,-0.13,129,112,97,National spread
Stockholm,232,155,-33.189655172413794,Kisqali-preferred (verified),-0.12579241339380964,-0.13,135,117,102,National spread
Sörmland,33,20,-39.39393939393939,Other,-0.1537370025285315,-0.1537370025285315,17,14,12,National spread
Uppsala,60,43,-28.333333333333332,Potential next-adopter,-0.10510434029879145,-0.08,40,37,34,National spread
Värmland,10,6,-40,Other,-0.1565673346982508,-0.1565673346982508,5,4,3,National spread
Västerbotten,6,12,100,Other,0.2599210498948732,0.25,15,19,24,National spread
Västernorrland,18,20,11.11111111111111,Other,0.03574416865128627,0.03574416865128627,21,22,23,National spread
Västmanland,30,11,-63.33333333333333,Other,-0.2842569436603529,-0.25,8,6,4,National spread
Västra Götaland,219,140,-36.07305936073059,Kisqali-preferred (verified),-0.1385541688899028,-0.13,122,106,92,National spread
Örebro,21,13,-38.095238095238095,Other,-0.14773493673718796,-0.14773493673718796,11,9,8,National spread
Östergötland,72,35,-51.388888888888886,Potential next-adopter,-0.2137176699472444,-0.08,32,29,27,National spread
