Brick,County Council,CDK4/6 total SEK (last 6mo),Ibrance SEK,Kisqali SEK,Verzenios SEK,Ibrance share %,Kisqali share %,Verzenios share %,Kisqali last6 vs prev6 %,Recovery SEK (kr),Defense-risk SEK (kr),Priority quadrant
09 - Linköping,05 - Östergötlands län,4050494.98,733332.31,2147636.4,1169526.27,18.10475790294647,53.02157910587017,28.873662991183362,71.18324466777135,-25150.442819790816,522009.7324551195,Stable mid-tier
59 - Sundsvall,22 - Västernorrlands län,2875523.73,869765.1399999999,1112665.1400000001,893093.45,30.247190483105484,38.694347342423086,31.05846217447143,50.97344900755766,-367013.3098440716,443349.29012341244,Defense target
561 - Tierp,03 - Uppsala län,1809980.56,477518.12,822120.52,510341.92000000004,26.382499931380476,45.42151104650538,28.195989022114137,63.390132030876934,-161064.10169612325,302699.3667393614,Low priority (small market)
35 - Trollhättan/Vänersborg,14 - Västra Götalands län,3277893.32,733332.26,1481352.49,1063208.5699999998,22.372059991262926,45.19221174653726,32.43572826219982,39.332361380405665,-160230.79382434385,288436.8946222961,Stable mid-tier
18 - Hultsfred/Vimmerby,08 - Kalmar län,340657.02999999997,170541.89,106323.34999999999,63791.78999999999,50.06263631195282,31.21125960617927,18.726104081867913,150.32007093120274,-110981.9762697861,256358.69001541377,Low priority (small market)
03 - Enköping,03 - Uppsala län,1825199.67,358138.08,1105572.39,361489.19999999995,19.62185759106564,60.57268189183927,19.805460517095096,55.99908209969961,-39023.17758446815,200554.0374494879,Low priority (small market)
63 - Östersund,23 - Jämtlands län,2291106.62,409300.80000000005,637858.5,1243947.3199999998,17.86476440803964,27.840629258886256,54.29460633307409,42.843220071676164,-8727.494250454769,175357.64249913112,Low priority (small market)
46 - Karlskoga,18 - Örebro län,948873.1799999999,204650.82,255148.83999999997,489073.52,21.567773682885633,26.889667173436177,51.54255914367819,80.0211143890335,-38751.39693007616,163763.86677029505,Low priority (small market)
81 - Göteborg-Centrum + V,14 - Västra Götalands län,10291456.97,3274414.0100000002,2019980.37,4997062.59,31.816816798098124,19.627739550272832,48.55544365162904,4.774145153706256,-1475072.6334506634,156325.27777069368,Stronghold
60 - Härnösand/Kramfors,22 - Västernorrlands län,1079314.1800000002,221705.24,347273.04,510335.9,20.54130707334911,32.1753430497874,47.28334987686347,63.33077289061191,-32999.72745385763,140407.64203098606,Low priority (small market)
76 - Stockholm-SV,01 - Stockholms län,8473637.76,1620154.27,2706998.4999999995,4146484.99,19.119937810511267,31.946120151352797,48.93394203813594,8.516843120215723,-138637.4084026241,137985.99748137628,Stable mid-tier
07 - Eskilstuna,04 - Södermanlands län,3528887.45,835657.1000000001,1970249.4300000002,722980.9199999999,23.680469038478403,55.83202802344972,20.48750293807188,16.314223202504344,-218672.23376772358,136330.96450157496,Defense target
82 - Göteborg-Hisingen + NO,14 - Västra Götalands län,4802624.85,1893019.9300000002,772566.44,2137038.48,39.41636061788171,16.08633745356979,44.49730192854852,6.857854359585276,-1053336.915841797,129820.54979732315,Stronghold
65 - Skellefteå,24 - Västerbottens län,1546555.39,324030.44,637763.26,584761.69,20.951751362749444,41.237660424176596,37.810588213073956,34.32062786653531,-53633.24430027424,111209.28148669699,Low priority (small market)
86 - Lerum/Alingsås,14 - Västra Götalands län,2945737.62,613951.99,1077201.3699999999,1254584.26,20.842046006799478,36.56813704949051,42.589816943710005,16.017141133843367,-98924.07902735494,98337.55673233992,Stable mid-tier
29 - Ystad/Simrishamn,12 - Skåne län,4156719.5,1279067.1099999999,729969.13,2147683.2600000002,30.771071033299215,17.561183284077746,51.66774568262304,7.28936076647234,-552313.1227985676,93235.8160931916,Stronghold
64 - Umeå,24 - Västerbottens län,3153118.55,562790.01,1112474.8499999999,1477853.69,17.8486790482394,35.28173242962907,46.86958852213153,15.458610359396571,-11503.958985179579,86999.514787509,Stable mid-tier
24 - Kristianstad,12 - Skåne län,3027778.66,784494.98,722889.93,1520393.75,25.909918395421943,23.87525678643894,50.214824818139114,10.856526040850545,-255123.14879551055,85168.90179286528,Defense target
83 - Göteborg-S,14 - Västra Götalands län,3696989.41,1074417.61,751328.99,1871242.81,29.0619607157598,20.322724970964956,50.61531431327524,7.069551195953373,-428042.0741095049,75956.50299728866,Stronghold
26 - Ängelholm,12 - Skåne län,1888681.96,460464.33,460702.75999999995,967514.87,24.380194217559,24.392818365247688,51.226987417193314,14.039223564624956,-130250.28861822862,64645.61672405242,Low priority (small market)
