Brick,County Council,CDK4/6 total SEK (last 6mo),Ibrance SEK,Kisqali SEK,Verzenios SEK,Ibrance share %,Kisqali share %,Verzenios share %,Kisqali last6 vs prev6 %,Recovery SEK (kr),Defense-risk SEK (kr),Priority quadrant
75 - Stockholm-S,01 - Stockholms län,16080348.830000002,2029454.89,4556507.890000001,9494386.05,12.620714335585713,28.335877151490873,59.04340851292341,8.97845912283437,782006.7993904891,0.0,Stable mid-tier
562 - Gävle,21 - Gävleborgs län,3324156.86,0.0,1389132.9899999998,1935023.87,0.0,41.78903248266088,58.21096751733913,-32.41778874709201,581190.1072680014,0.0,Recovery target
68 - Luleå/Boden,25 - Norrbottens län,3741092.3899999997,119379.68,1388956.28,2232756.4299999997,3.1910380058804164,37.12702428073422,59.681937713385366,-0.9937165027998015,534706.7482329938,0.0,Recovery target
45 - Örebro,18 - Örebro län,5532536.140000001,443410.81000000006,2473644.7800000003,2615480.55,8.014603046045353,44.71086527778199,47.27453167617265,61.57930538917653,523888.691224709,0.0,Recovery target
48 - Västerås,19 - Västmanlands län,3708585.41,136433.62,1594591.6900000002,1977560.0999999999,3.678858780820151,42.99730257526953,53.323838643910314,60.70439342059524,511969.3414205526,0.0,Recovery target
71 - Stockholm-NO,01 - Stockholms län,9153002.98,1193795.57,2026529.19,5932678.22,13.042665588643784,22.140593578174492,64.81674083318171,6.733418658445614,406500.38708384737,0.0,Stable mid-tier
11 - Jönköping,06 - Jönköpings län,5966724.3,665115.63,1495334.03,3806274.6399999997,11.147081657518514,25.06122211813943,63.791696224342054,15.924912569696515,378096.61358696205,0.0,Recovery target
52 - Borlänge/Falun,20 - Dalarnas län,3529537.98,272867.78,1332268.44,1924401.76,7.730977299187471,37.74625595614075,54.52276674467178,147.3698694207819,344230.8238254179,0.0,Recovery target
20 - Kalmar/Nybro,08 - Kalmar län,2377962.02,85271.35,708514.01,1584176.66,3.5859004173666325,29.795009509865935,66.61909007276743,-18.047381741963132,330487.61074983457,0.0,Low priority (small market)
14 - Värnamo,06 - Jönköpings län,1796709.7799999998,0.0,786670.3099999999,1010039.47,0.0,43.7839387727939,56.216061227206104,-8.263218769706318,314133.77699861827,0.0,Low priority (small market)
