disease,region_name,region_code,year,metric,value
tbe,Blekinge,10,1997,cases,0.0
tbe,Blekinge,10,1997,incidence_per_100k,0.0
tbe,Blekinge,10,1998,cases,0.0
tbe,Blekinge,10,1998,incidence_per_100k,0.0
tbe,Blekinge,10,1999,cases,0.0
tbe,Blekinge,10,1999,incidence_per_100k,0.0
tbe,Blekinge,10,2000,cases,0.0
tbe,Blekinge,10,2000,incidence_per_100k,0.0
tbe,Blekinge,10,2001,cases,0.0
tbe,Blekinge,10,2001,incidence_per_100k,0.0
tbe,Blekinge,10,2002,cases,0.0
tbe,Blekinge,10,2002,incidence_per_100k,0.0
tbe,Blekinge,10,2003,cases,0.0
tbe,Blekinge,10,2003,incidence_per_100k,0.0
tbe,Blekinge,10,2004,cases,1.0
tbe,Blekinge,10,2004,incidence_per_100k,0.67
tbe,Blekinge,10,2005,cases,0.0
tbe,Blekinge,10,2005,incidence_per_100k,0.0
tbe,Blekinge,10,2006,cases,0.0
tbe,Blekinge,10,2006,incidence_per_100k,0.0
tbe,Blekinge,10,2007,cases,2.0
tbe,Blekinge,10,2007,incidence_per_100k,1.32
tbe,Blekinge,10,2008,cases,2.0
tbe,Blekinge,10,2008,incidence_per_100k,1.31
tbe,Blekinge,10,2009,cases,1.0
tbe,Blekinge,10,2009,incidence_per_100k,0.65
tbe,Blekinge,10,2010,cases,2.0
tbe,Blekinge,10,2010,incidence_per_100k,1.3
tbe,Blekinge,10,2011,cases,0.0
tbe,Blekinge,10,2011,incidence_per_100k,0.0
tbe,Blekinge,10,2012,cases,1.0
tbe,Blekinge,10,2012,incidence_per_100k,0.66
tbe,Blekinge,10,2013,cases,1.0
tbe,Blekinge,10,2013,incidence_per_100k,0.65
tbe,Blekinge,10,2014,cases,1.0
tbe,Blekinge,10,2014,incidence_per_100k,0.65
tbe,Blekinge,10,2015,cases,1.0
tbe,Blekinge,10,2015,incidence_per_100k,0.64
tbe,Blekinge,10,2016,cases,1.0
tbe,Blekinge,10,2016,incidence_per_100k,0.63
tbe,Blekinge,10,2017,cases,8.0
tbe,Blekinge,10,2017,incidence_per_100k,5.02
tbe,Blekinge,10,2018,cases,4.0
tbe,Blekinge,10,2018,incidence_per_100k,2.5
tbe,Blekinge,10,2019,cases,0.0
tbe,Blekinge,10,2019,incidence_per_100k,0.0
tbe,Blekinge,10,2020,cases,4.0
tbe,Blekinge,10,2020,incidence_per_100k,2.51
tbe,Blekinge,10,2021,cases,3.0
tbe,Blekinge,10,2021,incidence_per_100k,1.89
tbe,Blekinge,10,2022,cases,4.0
tbe,Blekinge,10,2022,incidence_per_100k,2.52
tbe,Blekinge,10,2023,cases,5.0
tbe,Blekinge,10,2023,incidence_per_100k,3.17
tbe,Blekinge,10,2024,cases,2.0
tbe,Blekinge,10,2024,incidence_per_100k,1.27
tbe,Blekinge,10,2025,cases,2.0
tbe,Blekinge,10,2025,incidence_per_100k,1.28
tbe,Dalarna,20,1997,cases,0.0
tbe,Dalarna,20,1997,incidence_per_100k,0.0
tbe,Dalarna,20,1998,cases,0.0
tbe,Dalarna,20,1998,incidence_per_100k,0.0
tbe,Dalarna,20,1999,cases,0.0
tbe,Dalarna,20,1999,incidence_per_100k,0.0
tbe,Dalarna,20,2000,cases,0.0
tbe,Dalarna,20,2000,incidence_per_100k,0.0
tbe,Dalarna,20,2001,cases,0.0
tbe,Dalarna,20,2001,incidence_per_100k,0.0
tbe,Dalarna,20,2002,cases,0.0
tbe,Dalarna,20,2002,incidence_per_100k,0.0
tbe,Dalarna,20,2003,cases,0.0
tbe,Dalarna,20,2003,incidence_per_100k,0.0
tbe,Dalarna,20,2004,cases,0.0
tbe,Dalarna,20,2004,incidence_per_100k,0.0
