kpi,kpi_title,region_code,region,year,value_kr_per_inv,status
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0001,Region Stockholm,2019,28062.569,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0003,Region Uppsala,2019,27095.772,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0004,Region Sörmland,2019,28980.977,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0005,Region Östergötland,2019,27241.968,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0006,Region Jönköpings län,2019,26259.698,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0007,Region Kronoberg,2019,28222.704,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0008,Region Kalmar,2019,28409.507,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0009,Region Gotland,2019,32536.943,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0010,Region Blekinge,2019,30750.723,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0012,Region Skåne,2019,26509.133,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0013,Region Halland,2019,26865.519,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0014,Västra Götalandsregionen,2019,25875.48,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0017,Region Värmland,2019,28589.234,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0018,Region Örebro län,2019,28395.203,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0019,Region Västmanland,2019,28396.382,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0020,Region Dalarna,2019,28611.016,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0021,Region Gävleborg,2019,29646.95,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0022,Region Västernorrland,2019,30805.349,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0023,Region Jämtland Härjedalen,2019,29561.96,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0024,Region Västerbotten,2019,29215.856,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0025,Region Norrbotten,2019,30388.695,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0001,Region Stockholm,2020,27278.96,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0003,Region Uppsala,2020,26738.312,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0004,Region Sörmland,2020,27565.038,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0005,Region Östergötland,2020,27744.36,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0006,Region Jönköpings län,2020,26865.017,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0007,Region Kronoberg,2020,27750.997,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0008,Region Kalmar,2020,29076.053,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0009,Region Gotland,2020,34046.304,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0010,Region Blekinge,2020,31812.694,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0012,Region Skåne,2020,27532.576,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0013,Region Halland,2020,26794.516,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0014,Västra Götalandsregionen,2020,24991.885,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0017,Region Värmland,2020,28495.678,
N70061,"Nettokostnad hälso- och sjukvård totalt (inkl. läkemedel), kr/inv",0018,Region Örebro län,2020,27826.581,
