kpi,kpi_title,region_code,region,year,value_kr_per_inv,status
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0001,Region Stockholm,2024,3104.3457,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0003,Region Uppsala,2024,3478.6914,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0004,Region Sörmland,2024,3637.9675,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0005,Region Östergötland,2024,3293.498,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0006,Region Jönköpings län,2024,3324.2434,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0007,Region Kronoberg,2024,3422.6534,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0008,Region Kalmar,2024,3450.3474,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0009,Region Gotland,2024,4313.5261,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0010,Region Blekinge,2024,3911.6414,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0012,Region Skåne,2024,3276.5748,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0013,Region Halland,2024,4042.6111,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0014,Västra Götalandsregionen,2024,2806.8259,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0017,Region Värmland,2024,3804.0256,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0018,Region Örebro län,2024,3460.0729,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0019,Region Västmanland,2024,3385.9964,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0020,Region Dalarna,2024,3660.8432,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0021,Region Gävleborg,2024,3566.9353,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0022,Region Västernorrland,2024,3632.1016,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0023,Region Jämtland Härjedalen,2024,3492.9501,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0024,Region Västerbotten,2024,3215.5027,
N70001,"Nettokostnad läkemedel inom läkemedelsförmånen, kr/inv",0025,Region Norrbotten,2024,4094.6022,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0001,Region Stockholm,2024,32434.7119,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0003,Region Uppsala,2024,32781.5803,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0004,Region Sörmland,2024,34068.2226,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0005,Region Östergötland,2024,33675.8063,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0006,Region Jönköpings län,2024,32742.4468,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0007,Region Kronoberg,2024,32879.1105,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0008,Region Kalmar,2024,34288.3353,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0009,Region Gotland,2024,43020.4523,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0010,Region Blekinge,2024,37004.7639,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0012,Region Skåne,2024,32668.452,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0013,Region Halland,2024,32366.9705,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0014,Västra Götalandsregionen,2024,31119.893,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0017,Region Värmland,2024,33569.2911,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0018,Region Örebro län,2024,34146.7369,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0019,Region Västmanland,2024,33988.0067,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0020,Region Dalarna,2024,34224.8713,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0021,Region Gävleborg,2024,36112.1458,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0022,Region Västernorrland,2024,36693.7521,
N70017,"Nettokostnad hälso- och sjukvård (exkl. läkemedel), kr/inv",0023,Region Jämtland Härjedalen,2024,38000.8882,
