category,kpi,title,region_code,region,year,value
oncology,N60910,"Cancer incidence, age-std, per 100k",0001,Region Stockholm,2023,665.23999777
oncology,N60910,"Cancer incidence, age-std, per 100k",0003,Region Uppsala,2023,643.46609492
oncology,N60910,"Cancer incidence, age-std, per 100k",0004,Region Sörmland,2023,659.45472502
oncology,N60910,"Cancer incidence, age-std, per 100k",0005,Region Östergötland,2023,694.91548489
oncology,N60910,"Cancer incidence, age-std, per 100k",0006,Region Jönköpings län,2023,681.09031458
oncology,N60910,"Cancer incidence, age-std, per 100k",0007,Region Kronoberg,2023,687.81725113
oncology,N60910,"Cancer incidence, age-std, per 100k",0008,Region Kalmar,2023,697.05878572
oncology,N60910,"Cancer incidence, age-std, per 100k",0009,Region Gotland,2023,681.96275112
oncology,N60910,"Cancer incidence, age-std, per 100k",0010,Region Blekinge,2023,686.33135255
oncology,N60910,"Cancer incidence, age-std, per 100k",0012,Region Skåne,2023,716.56464325
oncology,N60910,"Cancer incidence, age-std, per 100k",0013,Region Halland,2023,699.13083048
oncology,N60910,"Cancer incidence, age-std, per 100k",0014,Västra Götalandsregionen,2023,707.43665208
oncology,N60910,"Cancer incidence, age-std, per 100k",0017,Region Värmland,2023,625.72498913
oncology,N60910,"Cancer incidence, age-std, per 100k",0018,Region Örebro län,2023,701.62601257
oncology,N60910,"Cancer incidence, age-std, per 100k",0019,Region Västmanland,2023,613.68052823
oncology,N60910,"Cancer incidence, age-std, per 100k",0020,Region Dalarna,2023,614.18747921
oncology,N60910,"Cancer incidence, age-std, per 100k",0021,Region Gävleborg,2023,637.05195572
oncology,N60910,"Cancer incidence, age-std, per 100k",0022,Region Västernorrland,2023,554.76314384
oncology,N60910,"Cancer incidence, age-std, per 100k",0023,Region Jämtland Härjedalen,2023,698.41418277
oncology,N60910,"Cancer incidence, age-std, per 100k",0024,Region Västerbotten,2023,661.64890276
oncology,N60910,"Cancer incidence, age-std, per 100k",0025,Region Norrbotten,2023,487.96170412
oncology,N60910,"Cancer incidence, age-std, per 100k",0001,Region Stockholm,2022,904.22690844
oncology,N60910,"Cancer incidence, age-std, per 100k",0003,Region Uppsala,2022,845.3317812
oncology,N60910,"Cancer incidence, age-std, per 100k",0004,Region Sörmland,2022,799.34389278
oncology,N60910,"Cancer incidence, age-std, per 100k",0005,Region Östergötland,2022,1014.65135121
oncology,N60910,"Cancer incidence, age-std, per 100k",0006,Region Jönköpings län,2022,979.83845118
oncology,N60910,"Cancer incidence, age-std, per 100k",0007,Region Kronoberg,2022,812.84159471
oncology,N60910,"Cancer incidence, age-std, per 100k",0008,Region Kalmar,2022,959.69447461
oncology,N60910,"Cancer incidence, age-std, per 100k",0009,Region Gotland,2022,894.96590131
oncology,N60910,"Cancer incidence, age-std, per 100k",0010,Region Blekinge,2022,895.67235243
oncology,N60910,"Cancer incidence, age-std, per 100k",0012,Region Skåne,2022,952.38741857
oncology,N60910,"Cancer incidence, age-std, per 100k",0013,Region Halland,2022,868.30181408
