category,kpi,title,region_code,region,year,value
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0001,Region Stockholm,2024,261.18031
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0003,Region Uppsala,2024,245.15908
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0004,Region Sörmland,2024,255.9264
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0005,Region Östergötland,2024,264.87387
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0006,Region Jönköpings län,2024,237.38571
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0007,Region Kronoberg,2024,273.99474
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0008,Region Kalmar,2024,267.54749
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0009,Region Gotland,2024,273.65573
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0010,Region Blekinge,2024,286.20921
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0012,Region Skåne,2024,290.35993
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0013,Region Halland,2024,267.30931
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0014,Västra Götalandsregionen,2024,246.08364
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0017,Region Värmland,2024,272.96748
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0018,Region Örebro län,2024,252.95097
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0019,Region Västmanland,2024,264.9247
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0020,Region Dalarna,2024,253.91121
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0021,Region Gävleborg,2024,254.7001
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0022,Region Västernorrland,2024,251.13005
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0023,Region Jämtland Härjedalen,2024,235.34819
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0024,Region Västerbotten,2024,231.31565
abx,N00404,"Antibiotics, prescriptions per 1000 inv",0025,Region Norrbotten,2024,270.54113
cardio,N01439,"Acute MI incidence, 25+, per 100k",0001,Region Stockholm,2024,207.2
cardio,N01439,"Acute MI incidence, 25+, per 100k",0003,Region Uppsala,2024,218.2
cardio,N01439,"Acute MI incidence, 25+, per 100k",0004,Region Sörmland,2024,275.9
cardio,N01439,"Acute MI incidence, 25+, per 100k",0005,Region Östergötland,2024,256.2
cardio,N01439,"Acute MI incidence, 25+, per 100k",0006,Region Jönköpings län,2024,271.6
cardio,N01439,"Acute MI incidence, 25+, per 100k",0007,Region Kronoberg,2024,285.2
cardio,N01439,"Acute MI incidence, 25+, per 100k",0008,Region Kalmar,2024,258.8
cardio,N01439,"Acute MI incidence, 25+, per 100k",0009,Region Gotland,2024,274.5
cardio,N01439,"Acute MI incidence, 25+, per 100k",0010,Region Blekinge,2024,323.2
cardio,N01439,"Acute MI incidence, 25+, per 100k",0012,Region Skåne,2024,269.7
cardio,N01439,"Acute MI incidence, 25+, per 100k",0013,Region Halland,2024,250.2
cardio,N01439,"Acute MI incidence, 25+, per 100k",0014,Västra Götalandsregionen,2024,249.1
cardio,N01439,"Acute MI incidence, 25+, per 100k",0017,Region Värmland,2024,271.9
cardio,N01439,"Acute MI incidence, 25+, per 100k",0018,Region Örebro län,2024,270.8
cardio,N01439,"Acute MI incidence, 25+, per 100k",0019,Region Västmanland,2024,236.4
cardio,N01439,"Acute MI incidence, 25+, per 100k",0020,Region Dalarna,2024,293.8
cardio,N01439,"Acute MI incidence, 25+, per 100k",0021,Region Gävleborg,2024,257.7
cardio,N01439,"Acute MI incidence, 25+, per 100k",0022,Region Västernorrland,2024,315.7
cardio,N01439,"Acute MI incidence, 25+, per 100k",0023,Region Jämtland Härjedalen,2024,256.8
cardio,N01439,"Acute MI incidence, 25+, per 100k",0024,Region Västerbotten,2024,264.1
cardio,N01439,"Acute MI incidence, 25+, per 100k",0025,Region Norrbotten,2024,383.1
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0001,Region Stockholm,2024,193.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0003,Region Uppsala,2024,216.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0004,Region Sörmland,2024,275.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0005,Region Östergötland,2024,234.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0006,Region Jönköpings län,2024,260.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0007,Region Kronoberg,2024,312.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0008,Region Kalmar,2024,243.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0009,Region Gotland,2024,254.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0010,Region Blekinge,2024,320.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0012,Region Skåne,2024,267.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0013,Region Halland,2024,230.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0014,Västra Götalandsregionen,2024,237.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0017,Region Värmland,2024,250.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0018,Region Örebro län,2024,243.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0019,Region Västmanland,2024,232.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0020,Region Dalarna,2024,289.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0021,Region Gävleborg,2024,267.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0022,Region Västernorrland,2024,308.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0023,Region Jämtland Härjedalen,2024,269.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0024,Region Västerbotten,2024,254.0
cardio,N70341,"Acute myocardial infarction prevalence, per 100k",0025,Region Norrbotten,2024,388.0
cardio_quality,N70539,Heart care quality index (max 100),0001,Region Stockholm,2024,92.55595814
cardio_quality,N70539,Heart care quality index (max 100),0003,Region Uppsala,2024,78.4396892
cardio_quality,N70539,Heart care quality index (max 100),0004,Region Sörmland,2024,79.75553233
cardio_quality,N70539,Heart care quality index (max 100),0005,Region Östergötland,2024,49.39824844
cardio_quality,N70539,Heart care quality index (max 100),0006,Region Jönköpings län,2024,74.92742613
cardio_quality,N70539,Heart care quality index (max 100),0007,Region Kronoberg,2024,0.0
cardio_quality,N70539,Heart care quality index (max 100),0008,Region Kalmar,2024,32.24876429
cardio_quality,N70539,Heart care quality index (max 100),0009,Region Gotland,2023,0.0
cardio_quality,N70539,Heart care quality index (max 100),0010,Region Blekinge,2024,100.0
cardio_quality,N70539,Heart care quality index (max 100),0012,Region Skåne,2024,48.31684385
cardio_quality,N70539,Heart care quality index (max 100),0013,Region Halland,2024,70.55256534
cardio_quality,N70539,Heart care quality index (max 100),0014,Västra Götalandsregionen,2024,66.95111117
cardio_quality,N70539,Heart care quality index (max 100),0017,Region Värmland,2024,83.3974413
cardio_quality,N70539,Heart care quality index (max 100),0018,Region Örebro län,2024,39.63305974
cardio_quality,N70539,Heart care quality index (max 100),0019,Region Västmanland,2024,86.55302034
cardio_quality,N70539,Heart care quality index (max 100),0020,Region Dalarna,2024,61.80129433
cardio_quality,N70539,Heart care quality index (max 100),0021,Region Gävleborg,2024,51.24389187
cardio_quality,N70539,Heart care quality index (max 100),0022,Region Västernorrland,2024,65.49450021
cardio_quality,N70539,Heart care quality index (max 100),0023,Region Jämtland Härjedalen,2024,83.56996207
cardio_quality,N70539,Heart care quality index (max 100),0024,Region Västerbotten,2024,45.4812476
cardio_quality,N70539,Heart care quality index (max 100),0025,Region Norrbotten,2024,31.21162225
oncology,N60910,"Cancer incidence, age-std, per 100k",0001,Region Stockholm,2023,665.23999777
oncology,N60910,"Cancer incidence, age-std, per 100k",0003,Region Uppsala,2023,643.46609492
oncology,N60910,"Cancer incidence, age-std, per 100k",0004,Region Sörmland,2023,659.45472502
oncology,N60910,"Cancer incidence, age-std, per 100k",0005,Region Östergötland,2023,694.91548489
oncology,N60910,"Cancer incidence, age-std, per 100k",0006,Region Jönköpings län,2023,681.09031458
oncology,N60910,"Cancer incidence, age-std, per 100k",0007,Region Kronoberg,2023,687.81725113
oncology,N60910,"Cancer incidence, age-std, per 100k",0008,Region Kalmar,2023,697.05878572
oncology,N60910,"Cancer incidence, age-std, per 100k",0009,Region Gotland,2023,681.96275112
oncology,N60910,"Cancer incidence, age-std, per 100k",0010,Region Blekinge,2023,686.33135255
oncology,N60910,"Cancer incidence, age-std, per 100k",0012,Region Skåne,2023,716.56464325
oncology,N60910,"Cancer incidence, age-std, per 100k",0013,Region Halland,2023,699.13083048
