category,kpi,title,region_code,region,year,value
workforce,N70015,"Regional specialistkompetenta läkare, antal",0001,Region Stockholm,2024,4119.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0003,Region Uppsala,2024,1078.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0004,Region Sörmland,2024,525.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0005,Region Östergötland,2024,1249.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0006,Region Jönköpings län,2024,810.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0007,Region Kronoberg,2024,380.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0008,Region Kalmar,2024,531.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0009,Region Gotland,2024,126.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0010,Region Blekinge,2024,323.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0012,Region Skåne,2024,3046.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0013,Region Halland,2024,659.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0014,Västra Götalandsregionen,2024,3763.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0017,Region Värmland,2024,525.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0018,Region Örebro län,2024,681.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0019,Region Västmanland,2024,479.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0020,Region Dalarna,2024,559.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0021,Region Gävleborg,2024,523.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0022,Region Västernorrland,2024,429.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0023,Region Jämtland Härjedalen,2024,331.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0024,Region Västerbotten,2024,805.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0025,Region Norrbotten,2024,441.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0001,Region Stockholm,2023,3920.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0003,Region Uppsala,2023,1017.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0004,Region Sörmland,2023,502.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0005,Region Östergötland,2023,1230.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0006,Region Jönköpings län,2023,771.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0007,Region Kronoberg,2023,358.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0008,Region Kalmar,2023,522.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0009,Region Gotland,2023,124.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0010,Region Blekinge,2023,308.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0012,Region Skåne,2023,2938.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0013,Region Halland,2023,656.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0014,Västra Götalandsregionen,2023,3681.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0017,Region Värmland,2023,514.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0018,Region Örebro län,2023,670.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0019,Region Västmanland,2023,451.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0020,Region Dalarna,2023,532.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0021,Region Gävleborg,2023,522.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0022,Region Västernorrland,2023,415.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0023,Region Jämtland Härjedalen,2023,311.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0024,Region Västerbotten,2023,769.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0025,Region Norrbotten,2023,426.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0001,Region Stockholm,2022,3780.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0003,Region Uppsala,2022,1005.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0004,Region Sörmland,2022,480.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0005,Region Östergötland,2022,1194.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0006,Region Jönköpings län,2022,760.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0007,Region Kronoberg,2022,348.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0008,Region Kalmar,2022,519.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0009,Region Gotland,2022,123.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0010,Region Blekinge,2022,312.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0012,Region Skåne,2022,2904.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0013,Region Halland,2022,615.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0014,Västra Götalandsregionen,2022,3654.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0017,Region Värmland,2022,499.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0018,Region Örebro län,2022,667.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0019,Region Västmanland,2022,424.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0020,Region Dalarna,2022,510.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0021,Region Gävleborg,2022,495.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0022,Region Västernorrland,2022,408.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0023,Region Jämtland Härjedalen,2022,313.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0024,Region Västerbotten,2022,752.0
workforce,N70015,"Regional specialistkompetenta läkare, antal",0025,Region Norrbotten,2022,401.0
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0001,Region Stockholm,2024,3829.72
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0003,Region Uppsala,2024,1001.8
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0004,Region Sörmland,2024,495.76
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0005,Region Östergötland,2024,1147.1
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0006,Region Jönköpings län,2024,740.47
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0007,Region Kronoberg,2024,357.29
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0008,Region Kalmar,2024,493.67
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0009,Region Gotland,2024,166.03
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0010,Region Blekinge,2024,312.74
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0012,Region Skåne,2024,2862.02
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0013,Region Halland,2024,594.85
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0014,Västra Götalandsregionen,2024,3474.67
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0017,Region Värmland,2024,490.55
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0018,Region Örebro län,2024,633.39
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0019,Region Västmanland,2024,447.11
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0020,Region Dalarna,2024,502.25
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0021,Region Gävleborg,2024,487.38
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0022,Region Västernorrland,2024,406.97
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0023,Region Jämtland Härjedalen,2024,300.16
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0024,Region Västerbotten,2024,762.67
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0025,Region Norrbotten,2024,408.02
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0001,Region Stockholm,2023,3618.46
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0003,Region Uppsala,2023,942.34
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0004,Region Sörmland,2023,475.85
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0005,Region Östergötland,2023,1130.34
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0006,Region Jönköpings län,2023,703.31
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0007,Region Kronoberg,2023,322.31
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0008,Region Kalmar,2023,482.59
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0009,Region Gotland,2023,156.86
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0010,Region Blekinge,2023,299.84
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0012,Region Skåne,2023,2739.89
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0013,Region Halland,2023,594.66
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0014,Västra Götalandsregionen,2023,3403.2
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0017,Region Värmland,2023,474.26
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0018,Region Örebro län,2023,612.95
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0019,Region Västmanland,2023,413.07
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0020,Region Dalarna,2023,476.79
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0021,Region Gävleborg,2023,471.19
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0022,Region Västernorrland,2023,380.54
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0023,Region Jämtland Härjedalen,2023,283.3
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0024,Region Västerbotten,2023,717.98
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0025,Region Norrbotten,2023,390.58
workforce,N70034,"Regional specialistläkare årsarbetare, antal",0001,Region Stockholm,2022,3491.36
