category,kpi_id,title,operating_area,perspective
vaccine_coverage,N01481,"MPR-vaccinerade 2-åringar, andel (%)",Hälso- och sjukvård,Kvalitet och resultat
vaccine_coverage,N01482,"MPR-vaccinerade 9-åringar, andel (%)",Hälso- och sjukvård,Kvalitet och resultat
vaccine_coverage,N01483,"HPV-vaccinerade flickor, andel (%)",Hälso- och sjukvård,Kvalitet och resultat
vaccine_coverage,N01484,"HPV-vaccinerade pojkar, andel (%)",Hälso- och sjukvård,Kvalitet och resultat
elderly_care,N00024,"Kostnadsutjämningsnetto äldreomsorg, kr/inv 1 nov fg år","Kommunen, övergripande",Resurser
elderly_care,N00533,"Medborgarundersökningen - Äldreomsorgen fungerar bra i kommunen, andel (%)","Kommunen, övergripande",Kvalitet och resultat
elderly_care,N00592,"Medborgarundersökningen - Bra utbud av ställen (t.ex. träffpunkter) för äldre att träffas på i kommunen, andel (%)","Kommunen, övergripande",Kvalitet och resultat
elderly_care,N00980,"Äldre äldre av invånare 65+, andel (%)",Befolkning,Volymer
elderly_care,N01719,"Invånare, 1 år eller äldre som flyttat in eller bytt distrikt i kommunen, andel (%)",Befolkning,Volymer
elderly_care,N02850,"Ensamstående äldrehushåll utan barn, andel (%)",Befolkning,Volymer
elderly_care,N04133,"Kommunens köp av äldreomsorg från offentliga utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N04135,"Kommunens köp av hemtjänst i ordinärt boende äldreomsorg från offentliga utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N04136,"Kommunens köp av hemtjänst i ordinärt boende äldreomsorg från privata utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N04137,"Kommunens köp av särskilt boende äldreomsorg från offentliga utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N04138,"Kommunens köp av särskilt boende äldreomsorg från privata utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N04139,"Kommunens köp av korttidsboende äldreomsorg totalt, andel (%)",Hälso- och sjukvård,Resurser
elderly_care,N04140,"Kommunens köp av korttidsboende äldreomsorg från offentliga utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N04141,"Kommunens köp av korttidsboende äldreomsorg från privata utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N04158,"Kommunens köp av äldreomsorg från privata utförare, andel (%) (-2024)",Hälso- och sjukvård,Resurser
elderly_care,N20001,"Kostnad äldre och funktionsnedsättning (SoL, LSS, SFB), kr/inv",Äldre och funktionshinder,Resurser
elderly_care,N20005,"Statliga driftbidrag, vård och omsorg om äldre, kr/invånare 80+",Hälso- och sjukvård,Resurser
elderly_care,N20007,"Kostnad äldreomsorg, kr/inv 65+",Hälso- och sjukvård,Resurser
elderly_care,N20010,"Intäkter äldre och funktionsnedsättning (SoL, LSS, SFB), kr/inv",Äldre och funktionshinder,Resurser
elderly_care,N20011,"Nettokostnad äldre och funktionsnedsättning (SoL, LSS, SFB), kr/inv",Äldre och funktionshinder,Resurser
elderly_care,N20014,"Nettokostnad äldreomsorg, kr/inv",Hälso- och sjukvård,Resurser
