region_code,region,N01451_year,N01451_value,N02013_year,N02013_value,N61603_year,N61603_value,N79190_year,N79190_value,N79191_year,N79191_value,N72461_year,N72461_value,U71438_year,U71438_value
0001,Stockholm,2024,153.4,2024,45.9,2024,12.4,2023,41.07172813,2023,72.29570823,2024,3.9,,
0003,Uppsala,2024,155.4,2024,43.9,2024,15.7,2023,41.48318041,2023,70.87115068,2024,4.6,,
0004,Sörmland,2024,199.7,2024,50.7,2024,14.0,2023,55.20036516,2023,92.0349143,2024,6.4,,
0005,Östergötland,2024,175.0,2024,43.6,2024,16.6,2023,49.36410008,2023,84.89844282,2024,6.2,,
0006,Jönköping,2024,169.6,2024,39.0,2024,13.3,2023,46.73701009,2023,77.95378378,2024,6.3,,
0007,Kronoberg,2024,168.2,2024,41.9,2024,15.8,2023,46.40320259,2023,71.6830106,2024,5.9,,
0008,Kalmar,2024,174.4,2024,46.7,2024,15.8,2023,47.97360306,2023,89.13549961,2024,8.6,,
0009,Gotland,2024,180.2,2024,45.4,2024,11.6,2023,45.72431839,2023,82.58095058,2024,7.4,,
0010,Blekinge,2024,186.6,2024,50.2,2024,16.2,2023,55.95210105,2023,91.80475901,2024,8.3,,
0012,Skåne,2024,174.4,2024,52.6,2024,15.6,2023,50.32599907,2023,85.07783841,2024,5.8,,
0013,Halland,2024,153.7,2024,41.8,2024,13.7,2023,42.09823568,2023,69.26687065,2024,5.8,,
0014,Västra Götaland,2024,182.9,2024,45.7,2024,16.0,2023,49.85652205,2023,83.24608792,2024,5.4,,
0017,Värmland,2024,193.3,2024,47.4,2024,17.9,2023,52.65261622,2023,94.82423684,2024,8.3,,
0018,Örebro,2024,190.3,2024,51.5,2024,13.7,2023,50.49987326,2023,89.84805213,2024,5.5,,
0019,Västmanland,2024,189.4,2024,47.0,2024,15.3,2023,49.84715542,2023,91.03743335,2024,6.9,,
0020,Dalarna,2024,168.5,2024,43.3,2024,18.9,2023,45.59972124,2023,79.68128151,2024,8.2,,
0021,Gävleborg,2024,191.2,2024,50.4,2024,16.6,2023,49.95088758,2023,93.10339318,2024,8.5,,
0022,Västernorrland,2024,197.8,2024,44.6,2024,16.0,2023,53.71870413,2023,99.90772373,2024,7.3,,
0023,Jämtland Härjedalen,2024,174.5,2024,34.9,2024,22.8,2023,48.58112813,2023,88.75540802,2024,7.0,,
0024,Västerbotten,2024,173.8,2024,38.4,2024,14.3,2023,47.65488807,2023,77.82455252,2024,6.5,,
0025,Norrbotten,2024,204.0,2024,48.1,2024,18.1,2023,53.52333651,2023,101.1729288,2024,7.9,,
