category,kpi,title,region_code,region,year,value
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0001,Region Stockholm,2024,37.26
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0003,Region Uppsala,2024,48.37
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0004,Region Sörmland,2024,39.9
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0005,Region Östergötland,2024,47.15
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0006,Region Jönköpings län,2024,50.01
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0007,Region Kronoberg,2024,41.19
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0008,Region Kalmar,2024,50.53
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0009,Region Gotland,2024,44.4
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0010,Region Blekinge,2024,45.54
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0012,Region Skåne,2024,43.99
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0013,Region Halland,2024,48.53
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0014,Västra Götalandsregionen,2024,49.11
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0017,Region Värmland,2024,35.76
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0018,Region Örebro län,2024,53.75
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0019,Region Västmanland,2024,51.66
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0020,Region Dalarna,2024,48.17
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0021,Region Gävleborg,2024,36.1
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0022,Region Västernorrland,2024,51.05
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0023,Region Jämtland Härjedalen,2024,33.28
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0024,Region Västerbotten,2024,44.54
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0025,Region Norrbotten,2024,38.08
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0001,Region Stockholm,2023,35.92
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0003,Region Uppsala,2023,39.71
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0004,Region Sörmland,2023,49.97
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0005,Region Östergötland,2023,51.83
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0006,Region Jönköpings län,2023,47.49
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0007,Region Kronoberg,2023,41.8
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0008,Region Kalmar,2023,51.38
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0009,Region Gotland,2023,35.11
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0010,Region Blekinge,2023,47.24
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0012,Region Skåne,2023,49.69
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0013,Region Halland,2023,63.18
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0014,Västra Götalandsregionen,2023,50.05
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0017,Region Värmland,2023,43.05
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0018,Region Örebro län,2023,55.08
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0019,Region Västmanland,2023,40.2
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0020,Region Dalarna,2023,45.48
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0021,Region Gävleborg,2023,41.46
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0022,Region Västernorrland,2023,45.47
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0023,Region Jämtland Härjedalen,2023,43.46
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0024,Region Västerbotten,2023,65.13
cancer_screening_detail,N70347,"Förekomst av tjocktarmscancer, kvinnor, antal/100 000 invånare",0025,Region Norrbotten,2023,37.36
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0001,Region Stockholm,2024,43.14
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0003,Region Uppsala,2024,51.87
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0004,Region Sörmland,2024,55.79
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0005,Region Östergötland,2024,41.16
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0006,Region Jönköpings län,2024,48.34
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0007,Region Kronoberg,2024,44.61
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0008,Region Kalmar,2024,50.6
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0009,Region Gotland,2024,31.12
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0010,Region Blekinge,2024,60.79
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0012,Region Skåne,2024,46.2
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0013,Region Halland,2024,49.8
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0014,Västra Götalandsregionen,2024,55.81
cancer_screening_detail,N70348,"Förekomst av tjocktarmscancer, män, antal/100 000 invånare",0017,Region Värmland,2024,45.34
