region_code,region,L01EF01_2021,L01EF01_2022,L01EF01_2023,L01EF01_2024,N07XX08_2021,N07XX08_2022,N07XX08_2023,N07XX08_2024,L01XK04_2021,L01XK04_2022,L01XK04_2023,L01XK04_2024,L01ED04_2021,L01ED04_2022,L01ED04_2023,L01ED04_2024,L01EH03_2021,L01EH03_2022,L01EH03_2023,L01EH03_2024,N02CD06_2021,N02CD06_2022,N02CD06_2023,N02CD06_2024,J05AE30_2021,J05AE30_2022,J05AE30_2023,J05AE30_2024
01,Stockholm,232,241,181,155,9,30,61,82,1,3,3,6,11,6,7,9,0,3,11,15,0,15,149,974,0,40,435,267
03,Uppsala,60,49,45,43,0,3,7,12,0,0,0,2,0,0,0,1,0,1,2,1,0,0,13,69,0,3,19,50
04,Sörmland,33,30,26,20,0,2,3,7,0,1,1,0,2,1,0,1,0,0,1,1,0,0,7,65,0,10,81,29
05,Östergötland,72,68,59,35,0,3,9,11,0,0,4,3,6,7,4,7,0,0,3,2,0,0,8,53,0,0,22,45
06,Jönköping,24,20,18,13,1,2,5,6,0,0,0,2,3,2,1,1,0,0,2,2,0,1,3,86,0,1,13,3
07,Kronoberg,20,25,22,23,3,10,14,15,0,0,0,0,1,2,1,0,0,0,0,0,0,0,7,18,0,0,10,3
08,Kalmar,24,25,16,12,0,2,7,10,1,0,0,0,2,2,5,5,0,0,1,1,0,1,2,25,0,0,20,5
09,Gotland,6,9,8,6,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,15,0,1,11,1
10,Blekinge,7,6,6,10,2,3,3,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,21,0,0,3,2
12,Skåne,141,202,181,148,6,23,41,50,0,1,2,7,7,8,10,10,0,0,3,4,0,22,145,435,0,14,149,56
13,Halland,52,66,62,58,1,8,13,24,1,0,2,1,4,2,2,5,0,0,1,3,0,0,12,85,0,2,45,24
14,Västra Götaland,219,234,199,140,0,16,39,46,1,5,1,5,4,3,2,2,0,5,11,16,0,6,103,624,0,9,132,67
17,Värmland,10,17,11,6,1,2,7,7,0,1,2,0,3,6,6,4,0,1,1,1,0,0,5,25,0,3,36,12
18,Örebro,21,18,18,13,0,1,0,0,0,0,1,1,0,0,2,3,0,1,6,4,0,0,3,20,0,1,38,28
19,Västmanland,30,36,26,11,1,3,6,8,0,0,0,0,1,1,1,1,0,1,3,4,0,0,1,27,0,2,22,11
20,Dalarna,16,21,20,14,2,3,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,17,0,3,25,10
21,Gävleborg,26,17,13,5,2,6,6,9,1,1,1,3,0,0,2,3,0,0,0,1,0,0,4,28,0,0,12,13
22,Västernorrland,18,18,20,20,3,4,8,7,0,0,0,0,1,1,1,0,0,1,1,1,0,0,3,34,0,0,24,14
23,Jämtland Härjedalen,8,7,9,7,1,4,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,3,28,14
24,Västerbotten,6,10,14,12,19,48,75,67,0,0,0,0,1,2,3,1,0,0,0,2,0,0,4,22,0,1,7,7
25,Norrbotten,6,3,2,2,32,54,78,77,0,0,0,0,2,1,1,1,0,0,0,0,0,0,5,20,0,0,16,8
