region_code,region,sjukvardsregion,tbe_incidence_2025,fsme_pfi_sek_36mo,fsme_pfi_sek_per_capita_yr,tbe_market_total_sek,pfizer_share_pct,burden_score,gap_score,opportunity_score
03,Region Uppsala,Mellansverige,14.61,56544370.0,46.21,118717560.0,47.6,100.0,80.0,90.0
01,Region Stockholm,Stockholm-Gotland,5.51,359544485.0,48.46,457314600.0,78.6,95.0,40.0,67.5
08,Region Kalmar,Sydöstra,3.26,27934290.0,37.8,37028675.0,75.4,85.0,50.0,67.5
25,Region Norrbotten,Norra,0.4,9900130.0,13.27,18658730.0,53.1,60.0,75.0,67.5
24,Region Västerbotten,Norra,0,24640305.0,29.21,39799865.0,61.9,55.0,65.0,60.0
09,Region Gotland,Stockholm-Gotland,4.93,7925095.0,43.33,9919720.0,79.9,90.0,25.0,57.5
18,Region Örebro län,Mellansverige,0,20365925.0,22.01,85304480.0,23.9,10.0,100.0,55.0
17,Region Värmland,Mellansverige,0,23582650.0,27.74,77109545.0,30.6,20.0,90.0,55.0
23,Region Jämtland Härjedalen,Norra,0,9289380.0,23.31,12783755.0,72.7,50.0,60.0,55.0
19,Region Västmanland,Mellansverige,0,14344635.0,17.01,59010670.0,24.3,5.0,95.0,50.0
10,Region Blekinge,Södra,1.28,12887485.0,27.32,16212895.0,79.5,70.0,30.0,50.0
07,Region Kronoberg,Södra,2.95,30682235.0,50.29,37106355.0,82.7,80.0,20.0,50.0
14,Västra Götalandsregionen,Västra,0,260106040.0,48.91,348427590.0,74.7,40.0,55.0,47.5
04,Region Sörmland,Mellansverige,0,23579015.0,26.06,51667425.0,45.6,0.0,85.0,42.5
21,Region Gävleborg,Mellansverige,0,26987605.0,31.61,44790380.0,60.3,15.0,70.0,42.5
12,Region Skåne,Södra,0,148186080.0,34.58,191578815.0,77.3,35.0,45.0,40.0
22,Region Västernorrland,Norra,0,30108210.0,41.56,37909880.0,79.4,45.0,35.0,40.0
20,Region Dalarna,Mellansverige,1.4,45274545.0,52.67,50733150.0,89.2,75.0,0.0,37.5
13,Region Halland,Södra,1.16,33206940.0,32.08,39745945.0,83.5,65.0,10.0,37.5
05,Region Östergötland,Sydöstra,0,66680925.0,47.05,80558390.0,82.8,25.0,15.0,20.0
06,Region Jönköpings län,Sydöstra,0,65706160.0,59.19,75364560.0,87.2,30.0,5.0,17.5
