product,region_code,region,sjukvardsregion,burden_metric,burden_value,burden_score,share_metric,share_value,share_score,demo_metric,demo_value,demo_score,composite_opportunity_score
Prevenar 20 (pneumokock 65+),01,Region Stockholm,Stockholm-Gotland,ipd_2025,14.36,25.0,pneu_share,12.43,45.0,pop_65plus_pct,16.9,0.0,28.0
Prevenar 20 (pneumokock 65+),09,Region Gotland,Stockholm-Gotland,ipd_2025,16.42,62.5,pneu_share,9.8,85.0,pop_65plus_pct,27.47,100.0,79.0
Prevenar 20 (pneumokock 65+),03,Region Uppsala,Mellansverige,ipd_2025,15.1,50.0,pneu_share,22.57,0.0,pop_65plus_pct,19.09,5.0,21.0
Prevenar 20 (pneumokock 65+),04,Region Sörmland,Mellansverige,ipd_2025,0,50,pneu_share,9.91,75.0,pop_65plus_pct,23.59,55.0,61.0
Prevenar 20 (pneumokock 65+),19,Region Västmanland,Mellansverige,ipd_2025,0,50,pneu_share,10.55,65.0,pop_65plus_pct,22.29,45.0,55.0
Prevenar 20 (pneumokock 65+),18,Region Örebro län,Mellansverige,ipd_2025,0,50,pneu_share,9.81,80.0,pop_65plus_pct,22.16,40.0,60.0
Prevenar 20 (pneumokock 65+),20,Region Dalarna,Mellansverige,ipd_2025,10.84,0.0,pneu_share,12.53,40.0,pop_65plus_pct,26.06,90.0,34.0
Prevenar 20 (pneumokock 65+),21,Region Gävleborg,Mellansverige,ipd_2025,0,50,pneu_share,11.53,55.0,pop_65plus_pct,25.36,80.0,58.0
Prevenar 20 (pneumokock 65+),17,Region Värmland,Mellansverige,ipd_2025,0,50,pneu_share,20.59,5.0,pop_65plus_pct,25.14,70.0,36.0
Prevenar 20 (pneumokock 65+),05,Region Östergötland,Sydöstra,ipd_2025,0,50,pneu_share,18.15,15.0,pop_65plus_pct,21.43,20.0,30.0
Prevenar 20 (pneumokock 65+),06,Region Jönköpings län,Sydöstra,ipd_2025,0,50,pneu_share,11.76,50.0,pop_65plus_pct,21.58,25.0,45.0
Prevenar 20 (pneumokock 65+),08,Region Kalmar,Sydöstra,ipd_2025,17.52,75.0,pneu_share,17.27,25.0,pop_65plus_pct,26.34,95.0,59.0
Prevenar 20 (pneumokock 65+),12,Region Skåne,Södra,ipd_2025,0,50,pneu_share,9.67,90.0,pop_65plus_pct,20.09,10.0,58.0
Prevenar 20 (pneumokock 65+),10,Region Blekinge,Södra,ipd_2025,19.8,87.5,pneu_share,8.27,95.0,pop_65plus_pct,24.91,65.0,86.0
Prevenar 20 (pneumokock 65+),13,Region Halland,Södra,ipd_2025,14.45,37.5,pneu_share,18.36,10.0,pop_65plus_pct,23.07,50.0,29.0
Prevenar 20 (pneumokock 65+),07,Region Kronoberg,Södra,ipd_2025,20.19,100.0,pneu_share,12.75,35.0,pop_65plus_pct,22.04,35.0,61.0
Prevenar 20 (pneumokock 65+),14,Västra Götalandsregionen,Västra,ipd_2025,0,50,pneu_share,14.03,30.0,pop_65plus_pct,20.28,15.0,35.0
Prevenar 20 (pneumokock 65+),22,Region Västernorrland,Norra,ipd_2025,0,50,pneu_share,10.8,60.0,pop_65plus_pct,25.37,85.0,61.0
Prevenar 20 (pneumokock 65+),23,Region Jämtland Härjedalen,Norra,ipd_2025,0,50,pneu_share,3.61,100.0,pop_65plus_pct,24.37,60.0,72.0
Prevenar 20 (pneumokock 65+),24,Region Västerbotten,Norra,ipd_2025,0,50,pneu_share,17.51,20.0,pop_65plus_pct,21.67,30.0,34.0
Prevenar 20 (pneumokock 65+),25,Region Norrbotten,Norra,ipd_2025,14.06,12.5,pneu_share,10.05,70.0,pop_65plus_pct,25.31,75.0,48.0
Abrysvo (RSV adult),01,Region Stockholm,Stockholm-Gotland,ipd_2025_proxy,14.36,25.0,rsv_share,59.89,90.0,pop_75plus_pct,8.6,0.0,41.0
Abrysvo (RSV adult),09,Region Gotland,Stockholm-Gotland,ipd_2025_proxy,16.42,62.5,rsv_share,45.77,100.0,pop_75plus_pct,14.26,100.0,92.5
Abrysvo (RSV adult),03,Region Uppsala,Mellansverige,ipd_2025_proxy,15.1,50.0,rsv_share,64.15,60.0,pop_75plus_pct,9.9,5.0,36.0
Abrysvo (RSV adult),04,Region Sörmland,Mellansverige,ipd_2025_proxy,0,50,rsv_share,84.39,0.0,pop_75plus_pct,12.53,55.0,32.0
Abrysvo (RSV adult),19,Region Västmanland,Mellansverige,ipd_2025_proxy,0,50,rsv_share,76.12,10.0,pop_75plus_pct,12.07,45.0,32.0
Abrysvo (RSV adult),18,Region Örebro län,Mellansverige,ipd_2025_proxy,0,50,rsv_share,77.4,5.0,pop_75plus_pct,11.81,40.0,28.0
Abrysvo (RSV adult),20,Region Dalarna,Mellansverige,ipd_2025_proxy,10.84,0.0,rsv_share,71.14,25.0,pop_75plus_pct,13.83,90.0,46.0
Abrysvo (RSV adult),21,Region Gävleborg,Mellansverige,ipd_2025_proxy,0,50,rsv_share,52.3,95.0,pop_75plus_pct,13.43,80.0,80.0
Abrysvo (RSV adult),17,Region Värmland,Mellansverige,ipd_2025_proxy,0,50,rsv_share,66.33,45.0,pop_75plus_pct,13.26,70.0,56.0
Abrysvo (RSV adult),05,Region Östergötland,Sydöstra,ipd_2025_proxy,0,50,rsv_share,62.07,75.0,pop_75plus_pct,11.32,25.0,50.0
Abrysvo (RSV adult),06,Region Jönköpings län,Sydöstra,ipd_2025_proxy,0,50,rsv_share,67.98,40.0,pop_75plus_pct,11.48,30.0,38.0
Abrysvo (RSV adult),08,Region Kalmar,Sydöstra,ipd_2025_proxy,17.52,75.0,rsv_share,60.34,80.0,pop_75plus_pct,14.02,95.0,85.0
Abrysvo (RSV adult),12,Region Skåne,Södra,ipd_2025_proxy,0,50,rsv_share,63.6,70.0,pop_75plus_pct,10.47,15.0,44.0
Abrysvo (RSV adult),10,Region Blekinge,Södra,ipd_2025_proxy,19.8,87.5,rsv_share,63.6,65.0,pop_75plus_pct,13.56,85.0,77.5
Abrysvo (RSV adult),13,Region Halland,Södra,ipd_2025_proxy,14.45,37.5,rsv_share,64.2,55.0,pop_75plus_pct,12.22,50.0,49.5
Abrysvo (RSV adult),07,Region Kronoberg,Södra,ipd_2025_proxy,20.19,100.0,rsv_share,64.39,50.0,pop_75plus_pct,11.74,35.0,54.0
Abrysvo (RSV adult),14,Västra Götalandsregionen,Västra,ipd_2025_proxy,0,50,rsv_share,73.45,15.0,pop_75plus_pct,10.45,10.0,20.0
Abrysvo (RSV adult),22,Region Västernorrland,Norra,ipd_2025_proxy,0,50,rsv_share,59.89,85.0,pop_75plus_pct,13.39,75.0,74.0
Abrysvo (RSV adult),23,Region Jämtland Härjedalen,Norra,ipd_2025_proxy,0,50,rsv_share,69.96,30.0,pop_75plus_pct,12.65,60.0,46.0
Abrysvo (RSV adult),24,Region Västerbotten,Norra,ipd_2025_proxy,0,50,rsv_share,68.87,35.0,pop_75plus_pct,11.05,20.0,32.0
Abrysvo (RSV adult),25,Region Norrbotten,Norra,ipd_2025_proxy,14.06,12.5,rsv_share,71.19,20.0,pop_75plus_pct,13.07,65.0,36.5
FSME-IMMUN (TBE),01,Region Stockholm,Stockholm-Gotland,tbe_2025,5.51,87.5,tbe_share,78.62,40.0,pop_total,2473307,100.0,75.8
FSME-IMMUN (TBE),09,Region Gotland,Stockholm-Gotland,tbe_2025,4.93,75.0,tbe_share,79.89,25.0,pop_total,60971,0.0,45.0
FSME-IMMUN (TBE),03,Region Uppsala,Mellansverige,tbe_2025,14.61,100.0,tbe_share,47.63,80.0,pop_total,407912,80.0,90.0
FSME-IMMUN (TBE),04,Region Sörmland,Mellansverige,tbe_2025,0,50,tbe_share,45.64,85.0,pop_total,301542,60.0,62.5
FSME-IMMUN (TBE),19,Region Västmanland,Mellansverige,tbe_2025,0,50,tbe_share,24.31,95.0,pop_total,281158,40.0,61.5
FSME-IMMUN (TBE),18,Region Örebro län,Mellansverige,tbe_2025,0,50,tbe_share,23.87,100.0,pop_total,308375,65.0,68.0
FSME-IMMUN (TBE),20,Region Dalarna,Mellansverige,tbe_2025,1.4,37.5,tbe_share,89.24,0.0,pop_total,286546,55.0,29.8
FSME-IMMUN (TBE),21,Region Gävleborg,Mellansverige,tbe_2025,0,50,tbe_share,60.25,70.0,pop_total,284558,50.0,56.0
FSME-IMMUN (TBE),17,Region Värmland,Mellansverige,tbe_2025,0,50,tbe_share,30.58,90.0,pop_total,283384,45.0,61.0
FSME-IMMUN (TBE),05,Region Östergötland,Sydöstra,tbe_2025,0,50,tbe_share,82.77,15.0,pop_total,472446,85.0,46.5
FSME-IMMUN (TBE),06,Region Jönköpings län,Sydöstra,tbe_2025,0,50,tbe_share,87.18,5.0,pop_total,370009,75.0,41.5
FSME-IMMUN (TBE),08,Region Kalmar,Sydöstra,tbe_2025,3.26,62.5,tbe_share,75.44,50.0,pop_total,246352,25.0,51.2
FSME-IMMUN (TBE),12,Region Skåne,Södra,tbe_2025,0,50,tbe_share,77.35,45.0,pop_total,1428626,90.0,56.5
FSME-IMMUN (TBE),10,Region Blekinge,Södra,tbe_2025,1.28,25.0,tbe_share,79.49,30.0,pop_total,157223,10.0,23.5
FSME-IMMUN (TBE),13,Region Halland,Södra,tbe_2025,1.16,12.5,tbe_share,83.55,10.0,pop_total,345074,70.0,23.2
