region_code,region,2022,2023,2024,avg_3yr
01,Stockholms län,26356,25781,25657,25931.0
03,Uppsala län,3991,3816,3845,3884.0
04,Södermanlands län,2876,2526,2570,2657.0
05,Östergötlands län,4535,4294,4243,4357.0
06,Jönköpings län,3722,3581,3468,3590.0
07,Kronobergs län,2041,1963,1836,1947.0
08,Kalmar län,2176,2108,2026,2103.0
09,Gotlands län,465,454,417,445.0
10,Blekinge län,1392,1301,1161,1285.0
12,Skåne län,14381,13841,13521,13914.0
13,Hallands län,3293,3060,3141,3165.0
14,Västra Götalands län,18147,17427,17114,17563.0
17,Värmlands län,2528,2273,2279,2360.0
18,Örebro län,3024,2813,2814,2884.0
19,Västmanlands län,2835,2568,2514,2639.0
20,Dalarnas län,2575,2440,2334,2450.0
21,Gävleborgs län,2473,2281,2231,2328.0
22,Västernorrlands län,2029,1949,1786,1921.0
23,Jämtlands län,1170,1158,1138,1155.0
24,Västerbottens län,2618,2384,2394,2465.0
25,Norrbottens län,2107,2033,1962,2034.0
