region_code,region,pre_gymn_gymn,eftergymnasial,uppgift_saknas,totalt_25_64,andel_eftergymn_pct
01,Stockholm,537412,761277,51411,1350100,58.62
03,Uppsala,94410,105595,5339,205344,52.8
04,Sörmland,86833,55410,2988,145231,38.95
05,Östergötland,122582,107182,4612,234376,46.65
06,Jönköping,103988,73436,4230,181654,41.39
07,Kronoberg,54244,41572,2630,98446,43.39
08,Kalmar,68607,45517,2465,116589,39.88
09,Gotland,16597,11605,482,28684,41.15
10,Blekinge,41633,32249,1325,75207,43.65
12,Skåne,347607,353739,24702,726048,50.44
13,Halland,88600,74535,3301,166436,45.69
14,Västra Götaland,448321,439984,23868,912173,49.53
17,Värmland,77383,55698,3650,136731,41.85
18,Örebro,85681,62199,3156,151036,42.06
19,Västmanland,78509,58271,3002,139782,42.6
20,Dalarna,82814,50474,2719,136007,37.87
21,Gävleborg,83795,50646,2896,137337,37.67
22,Västernorrland,67519,47031,2062,116612,41.06
23,Jämtland Härjedalen,36069,27277,1252,64598,43.06
24,Västerbotten,68366,67389,4111,139866,49.64
25,Norrbotten,70135,48327,2889,121351,40.8
