region_code,region,inrikes_fodda,utrikes_fodda,totalt,andel_utrikes_fodda_pct
01,Stockholm,1791769,681538,2473307,27.56
03,Uppsala,325845,82067,407912,20.12
04,Sörmland,238889,62653,301542,20.78
05,Östergötland,390379,82067,472446,17.37
06,Jönköping,298011,71998,370009,19.46
07,Kronoberg,160187,43164,203351,21.23
08,Kalmar,209100,37252,246352,15.12
09,Gotland,55462,5509,60971,9.04
10,Blekinge,133517,23706,157223,15.08
12,Skåne,1086177,342449,1428626,23.97
13,Halland,293133,51941,345074,15.05
14,Västra Götaland,1403564,369257,1772821,20.83
17,Värmland,243060,40324,283384,14.23
18,Örebro,254578,53797,308375,17.45
19,Västmanland,218099,63059,281158,22.43
20,Dalarna,249132,37414,286546,13.06
21,Gävleborg,244503,40055,284558,14.08
22,Västernorrland,213313,28145,241458,11.66
23,Jämtland Härjedalen,118671,14168,132839,10.67
24,Västerbotten,243641,37497,281138,13.34
25,Norrbotten,216442,32178,248620,12.94
