region_code,region,period,life_expectancy_men,life_expectancy_women,life_expectancy_avg,life_expectancy_diff
01,Stockholms län,2021-2025,82.71,86.01,84.36,3.3
03,Uppsala län,2021-2025,82.5,85.64,84.07,3.14
04,Södermanlands län,2021-2025,81.25,84.35,82.8,3.1
05,Östergötlands län,2021-2025,81.74,84.95,83.34,3.21
06,Jönköpings län,2021-2025,82.22,85.46,83.84,3.24
07,Kronobergs län,2021-2025,82.68,85.37,84.03,2.69
08,Kalmar län,2021-2025,81.51,84.99,83.25,3.48
09,Gotlands län,2021-2025,82.07,85.84,83.95,3.77
10,Blekinge län,2021-2025,81.4,84.59,83.0,3.19
12,Skåne län,2021-2025,81.59,84.89,83.24,3.3
13,Hallands län,2021-2025,82.7,85.66,84.18,2.96
14,Västra Götalands län,2021-2025,81.63,85,83.31,3.37
17,Värmlands län,2021-2025,81.07,84.74,82.91,3.67
18,Örebro län,2021-2025,81.22,84.85,83.03,3.63
19,Västmanlands län,2021-2025,81.15,84.64,82.9,3.49
20,Dalarnas län,2021-2025,81.93,84.92,83.43,2.99
21,Gävleborgs län,2021-2025,80.84,84.14,82.49,3.3
22,Västernorrlands län,2021-2025,80.58,84,82.29,3.42
23,Jämtlands län,2021-2025,81.42,84.53,82.97,3.11
24,Västerbottens län,2021-2025,81.47,84.41,82.94,2.94
25,Norrbottens län,2021-2025,80.22,83.73,81.97,3.51
