region_code,region,year,total,age_0,age_65plus,age_75plus,age_85plus
01,Stockholms län,2030,2518631,24806,473631,237305,75225
01,Stockholms län,2035,2571565,26874,518982,258159,90401
01,Stockholms län,2040,2631239,28337,564308,289059,95261
01,Stockholms län,2050,2747015,29015,637582,353955,123764
03,Uppsala län,2030,429489,4152,86275,46160,14365
03,Uppsala län,2035,445648,4571,92666,49420,18063
03,Uppsala län,2040,460452,4803,98457,53277,19065
03,Uppsala län,2050,485694,4906,108068,61832,22570
04,Södermanlands län,2030,307022,2740,76729,41301,12768
04,Södermanlands län,2035,310364,2913,81262,43259,15404
04,Södermanlands län,2040,314031,3042,84599,46034,15819
04,Södermanlands län,2050,324914,3143,89500,52286,18606
05,Östergötlands län,2030,478427,4334,108604,58280,18359
05,Östergötlands län,2035,483238,4657,114500,61005,21923
05,Östergötlands län,2040,488581,4861,118917,64733,22658
05,Östergötlands län,2050,500759,4958,124414,72754,26406
06,Jönköpings län,2030,372071,3528,85200,46175,14757
06,Jönköpings län,2035,374691,3745,89842,48128,17510
06,Jönköpings län,2040,377657,3901,92629,50838,18254
06,Jönköpings län,2050,386395,4006,96199,56556,20890
07,Kronobergs län,2030,204965,1926,47267,26093,8400
07,Kronobergs län,2035,206371,2067,49518,26930,10007
07,Kronobergs län,2040,208060,2161,50861,28060,10468
07,Kronobergs län,2050,212651,2215,52862,30788,11501
08,Kalmar län,2030,244925,2025,68460,37806,11780
08,Kalmar län,2035,243726,2120,70782,39008,13988
08,Kalmar län,2040,242860,2204,71532,40566,14603
08,Kalmar län,2050,244275,2288,71053,43043,16175
09,Gotlands län,2030,62083,435,18177,9945,3107
09,Gotlands län,2035,62564,466,18907,10546,3783
09,Gotlands län,2040,62977,491,19300,11110,4046
09,Gotlands län,2050,64359,518,19248,11834,4606
10,Blekinge län,2030,153838,1240,40902,22598,7379
10,Blekinge län,2035,151818,1304,42376,22865,8448
10,Blekinge län,2040,150551,1351,43023,23802,8527
10,Blekinge län,2050,150445,1385,42884,25902,9504
12,Skåne län,2030,1459921,13810,313582,165219,51485
12,Skåne län,2035,1488615,14989,336038,174111,61244
12,Skåne län,2040,1519486,15818,355696,188393,64259
12,Skåne län,2050,1583888,16312,389146,220009,77275
13,Hallands län,2030,355072,3044,87978,47568,15314
13,Hallands län,2035,361927,3270,94713,50963,18734
13,Hallands län,2040,368626,3445,99910,55019,19798
13,Hallands län,2050,383738,3610,106170,63457,23686
14,Västra Götalands län,2030,1801536,17054,390731,204435,62858
14,Västra Götalands län,2035,1829747,18362,415144,216817,75452
14,Västra Götalands län,2040,1860732,19249,433683,233370,79666
14,Västra Götalands län,2050,1924323,19782,461745,264401,95271
17,Värmlands län,2030,281513,2356,74881,40735,12643
17,Värmlands län,2035,280698,2496,77296,42277,15002
17,Värmlands län,2040,280307,2596,77963,44013,15597
17,Värmlands län,2050,282297,2686,76424,46447,17468
18,Örebro län,2030,311725,2865,72784,39794,12451
18,Örebro län,2035,314442,3091,76310,40927,14879
18,Örebro län,2040,317567,3228,78678,42933,15187
18,Örebro län,2050,325637,3298,81785,47891,17139
19,Västmanlands län,2030,284466,2590,67529,36293,11632
19,Västmanlands län,2035,286957,2745,71176,37586,13781
19,Västmanlands län,2040,289887,2865,73528,40345,13915
19,Västmanlands län,2050,298239,2951,77086,45345,16563
20,Dalarnas län,2030,282466,2358,78211,43464,13320
20,Dalarnas län,2035,279514,2465,79844,44841,16220
20,Dalarnas län,2040,277211,2567,79996,45991,16731
20,Dalarnas län,2050,277439,2669,78509,47636,18141
21,Gävleborgs län,2030,280554,2315,75686,41220,12331
21,Gävleborgs län,2035,277506,2431,77844,42185,14814
21,Gävleborgs län,2040,275183,2525,78557,43740,15079
21,Gävleborgs län,2050,275177,2603,76749,46512,16771
22,Västernorrlands län,2030,233097,1902,62538,34021,10187
22,Västernorrlands län,2035,228146,1986,63860,34505,11847
22,Västernorrlands län,2040,224376,2054,63805,35086,11977
22,Västernorrlands län,2050,221719,2106,61771,36988,13019
23,Jämtlands län,2030,132742,1147,33803,18364,5433
23,Jämtlands län,2035,133022,1226,34547,18919,6603
23,Jämtlands län,2040,133515,1289,34928,19459,6821
23,Jämtlands län,2050,136181,1351,34751,20470,7465
24,Västerbottens län,2030,282499,2548,63815,34451,10123
24,Västerbottens län,2035,285779,2761,65817,36004,12193
24,Västerbottens län,2040,289285,2897,66913,36997,12910
24,Västerbottens län,2050,296573,2984,68745,39366,14172
25,Norrbottens län,2030,240286,1950,64597,34859,10172
25,Norrbottens län,2035,236155,2038,65426,35868,12013
25,Norrbottens län,2040,233075,2103,64694,36564,12493
25,Norrbottens län,2050,230065,2167,61425,37156,13612
