region_code,region,total,age_0,age_0_4,women_15_44,age_50plus,age_60plus,age_65plus,age_75plus
01,Stockholms län,2473307,25673,134151,495084,873359,553520,418087,212824
03,Uppsala län,407912,3877,20852,84119,146868,99203,77883,40384
04,Södermanlands län,301542,2640,14794,50715,127990,89321,71123,37789
05,Östergötlands län,472446,4261,23343,86075,187279,128110,101237,53462
06,Jönköpings län,370009,3491,19554,64969,147308,100931,79863,42464
07,Kronobergs län,203351,1863,10615,35766,81139,56148,44823,23877
08,Kalmar län,246352,2050,11635,39079,112131,80656,64879,34531
09,Gotlands län,60971,414,2474,9567,28787,20873,16747,8692
10,Blekinge län,157223,1173,7046,24921,69578,48819,39165,21322
12,Skåne län,1428626,13663,74757,270419,545941,367058,286963,149623
13,Hallands län,345074,3205,17741,57890,145452,100244,79594,42181
14,Västra Götalands län,1772821,17182,92357,332364,682559,460978,359559,185277
17,Värmlands län,283384,2302,12835,47041,125671,88962,71235,37564
18,Örebro län,308375,2817,15380,56019,124610,86016,68324,36419
19,Västmanlands län,281158,2554,14281,49270,115314,79490,62668,33946
20,Dalarnas län,286546,2342,13372,45780,128558,92657,74684,39629
21,Gävleborgs län,284558,2247,12777,46275,127876,90387,72154,38209
22,Västernorrlands län,241458,1804,10754,38686,108376,76247,61269,32322
23,Jämtlands län,132839,1149,6243,22624,57070,40407,32378,16803
24,Västerbottens län,281138,2382,13593,52884,108904,76229,60934,31077
25,Norrbottens län,248620,1983,11195,40145,110660,78714,62919,32494
