Landsting , "1997(tot)" , "1997(inc/100.000)" , "1998(tot)" , "1998(inc/100.000)" , "1999(tot)" , "1999(inc/100.000)" , "2000(tot)" , "2000(inc/100.000)" , "2001(tot)" , "2001(inc/100.000)" , "2002(tot)" , "2002(inc/100.000)" , "2003(tot)" , "2003(inc/100.000)" , "2004(tot)" , "2004(inc/100.000)" , "2005(tot)" , "2005(inc/100.000)" , "2006(tot)" , "2006(inc/100.000)" , "2007(tot)" , "2007(inc/100.000)" , "2008(tot)" , "2008(inc/100.000)" , "2009(tot)" , "2009(inc/100.000)" , "2010(tot)" , "2010(inc/100.000)" , "2011(tot)" , "2011(inc/100.000)" , "2012(tot)" , "2012(inc/100.000)" , "2013(tot)" , "2013(inc/100.000)" , "2014(tot)" , "2014(inc/100.000)" , "2015(tot)" , "2015(inc/100.000)" , "2016(tot)" , "2016(inc/100.000)" , "2017(tot)" , "2017(inc/100.000)" , "2018(tot)" , "2018(inc/100.000)" , "2019(tot)" , "2019(inc/100.000)" , "2020(tot)" , "2020(inc/100.000)" , "2021(tot)" , "2021(inc/100.000)" , "2022(tot)" , "2022(inc/100.000)" , "2023(tot)" , "2023(inc/100.000)" , "2024(tot)" , "2024(inc/100.000)" , "2025(tot)" , "2025(inc/100.000)"
"Blekinge " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 3.99 , 27 , 17.92 , 27 , 17.83 , 29 , 19.09 , 24 , 15.76 , 34 , 22.27 , 32 , 20.87 , 17 , 11.10 , 37 , 24.29 , 34 , 22.26 , 23 , 14.92 , 27 , 17.28 , 23 , 14.52 , 28 , 17.57 , 20 , 12.52 , 14 , 8.77 , 7 , 4.40 , 11 , 6.92 , 25 , 15.75 , 37 , 23.42 , 28 , 17.81 , 31 , 19.80 , 6 , 3.83
"Dalarna " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19 , 6.88 , 58 , 21.03 , 41 , 14.87 , 50 , 18.15 , 60 , 21.76 , 77 , 27.86 , 58 , 20.93 , 39 , 14.09 , 55 , 19.89 , 53 , 19.11 , 39 , 13.98 , 44 , 15.66 , 53 , 18.63 , 41 , 14.33 , 52 , 18.11 , 42 , 14.59 , 19 , 6.60 , 12 , 4.16 , 27 , 9.36 , 50 , 17.41 , 39 , 13.61 , 31 , 10.84 , 14 , 4.89
"Gotland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 6.94 , 15 , 26.09 , 11 , 19.20 , 12 , 21.00 , 14 , 24.56 , 21 , 36.70 , 11 , 19.21 , 18 , 31.40 , 13 , 22.71 , 13 , 22.74 , 10 , 17.47 , 12 , 20.91 , 10 , 17.24 , 6 , 10.24 , 8 , 13.50 , 10 , 16.75 , 2 , 3.33 , 4 , 6.56 , 10 , 16.35 , 15 , 24.58 , 14 , 22.96 , 10 , 16.42 , 5 , 8.21
"Gävleborg " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 16 , 5.78 , 48 , 17.39 , 52 , 18.86 , 44 , 15.97 , 48 , 17.39 , 58 , 21.00 , 62 , 22.42 , 37 , 13.40 , 50 , 18.07 , 41 , 14.75 , 44 , 15.71 , 35 , 12.42 , 25 , 8.78 , 36 , 12.60 , 47 , 16.40 , 47 , 16.35 , 26 , 9.04 , 25 , 8.69 , 36 , 12.53 , 36 , 12.60 , 41 , 14.41 , 41 , 14.46 , 9 , 3.18
"Halland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 15 , 5.29 , 33 , 11.54 , 31 , 10.73 , 37 , 12.71 , 52 , 17.72 , 41 , 13.83 , 41 , 13.70 , 56 , 18.59 , 48 , 15.78 , 46 , 14.99 , 38 , 12.23 , 42 , 13.34 , 40 , 12.49 , 34 , 10.47 , 43 , 13.06 , 47 , 14.08 , 21 , 6.24 , 27 , 7.94 , 51 , 14.88 , 38 , 11.05 , 32 , 9.27 , 50 , 14.45 , 22 , 6.36
"Jämtland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 6.28 , 20 , 15.74 , 18 , 14.17 , 27 , 21.27 , 36 , 28.38 , 24 , 18.95 , 33 , 26.06 , 23 , 18.21 , 38 , 30.11 , 22 , 17.40 , 26 , 20.51 , 24 , 18.84 , 25 , 19.43 , 21 , 16.18 , 24 , 18.42 , 21 , 16.05 , 10 , 7.62 , 6 , 4.54 , 12 , 9.04 , 22 , 16.59 , 22 , 16.56 , 22 , 16.57 , 8 , 6.02
"Jönköping " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 20 , 6.07 , 38 , 11.51 , 50 , 15.08 , 48 , 14.40 , 63 , 18.80 , 62 , 18.46 , 62 , 18.41 , 44 , 13.02 , 56 , 16.51 , 40 , 11.72 , 33 , 9.59 , 53 , 15.24 , 50 , 14.17 , 42 , 11.76 , 46 , 12.75 , 48 , 13.20 , 26 , 7.12 , 28 , 7.63 , 48 , 13.00 , 55 , 14.91 , 55 , 14.86 , 50 , 13.52 , 14 , 3.79
"Kalmar " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 2.13 , 42 , 17.95 , 29 , 12.41 , 48 , 20.53 , 59 , 25.27 , 52 , 22.24 , 34 , 14.56 , 40 , 17.16 , 40 , 17.13 , 39 , 16.68 , 36 , 15.28 , 53 , 22.30 , 33 , 13.62 , 37 , 15.19 , 39 , 15.94 , 31 , 12.63 , 14 , 5.69 , 14 , 5.66 , 35 , 14.13 , 34 , 13.78 , 41 , 16.64 , 43 , 17.52 , 14 , 5.70
"Kronoberg " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 18 , 10.09 , 17 , 9.46 , 22 , 12.18 , 32 , 17.57 , 22 , 12.02 , 39 , 21.21 , 26 , 14.09 , 32 , 17.21 , 30 , 16.03 , 21 , 11.10 , 26 , 13.59 , 24 , 12.33 , 24 , 12.15 , 38 , 19.01 , 38 , 18.86 , 15 , 7.42 , 7 , 3.44 , 30 , 14.68 , 37 , 18.17 , 34 , 16.72 , 41 , 20.19 , 9 , 4.43
"Norrbotten " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0.79 , 15 , 5.96 , 30 , 11.91 , 29 , 11.57 , 41 , 16.41 , 33 , 13.24 , 41 , 16.49 , 42 , 16.91 , 38 , 15.28 , 37 , 14.83 , 29 , 11.60 , 36 , 14.42 , 37 , 14.77 , 40 , 15.92 , 29 , 11.58 , 36 , 14.39 , 12 , 4.81 , 13 , 5.21 , 42 , 16.86 , 37 , 14.89 , 30 , 12.07 , 35 , 14.06 , 10 , 4.02
