Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2021;2022;2023;2024
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Stockholms län;Båda könen;0­85+;0;40;435;267
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Uppsala län;Båda könen;0­85+;0;3;19;50
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Södermanlands län;Båda könen;0­85+;0;10;81;29
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Östergötlands län;Båda könen;0­85+;0;0;22;45
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Jönköpings län;Båda könen;0­85+;0;1;13;3
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Kronobergs län;Båda könen;0­85+;0;0;10;3
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Kalmar län;Båda könen;0­85+;0;0;20;5
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Gotlands län;Båda könen;0­85+;0;1;11;1
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Blekinge län;Båda könen;0­85+;0;0;3;2
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Skåne län;Båda könen;0­85+;0;14;149;56
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Hallands län;Båda könen;0­85+;0;2;45;24
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Västra Götalands län;Båda könen;0­85+;0;9;132;67
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Värmlands län;Båda könen;0­85+;0;3;36;12
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Örebro län;Båda könen;0­85+;0;1;38;28
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Västmanlands län;Båda könen;0­85+;0;2;22;11
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Dalarnas län;Båda könen;0­85+;0;3;25;10
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Gävleborgs län;Båda könen;0­85+;0;0;12;13
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Västernorrlands län;Båda könen;0­85+;0;0;24;14
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Jämtlands län;Båda könen;0­85+;0;3;28;14
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Västerbottens län;Båda könen;0­85+;0;1;7;7
Antal patienter;J05AE30 Nirmatrelvir och ritonavir;Norrbottens län;Båda könen;0­85+;0;0;16;8
Socialstyrelsens statistikdatabas 2026-04-24
