Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2021;2022;2023;2024
Antal patienter;L01ED04 Brigatinib;Stockholms län;Båda könen;0­85+;11;6;7;9
Antal patienter;L01ED04 Brigatinib;Uppsala län;Båda könen;0­85+;0;0;0;1
Antal patienter;L01ED04 Brigatinib;Södermanlands län;Båda könen;0­85+;2;1;0;1
Antal patienter;L01ED04 Brigatinib;Östergötlands län;Båda könen;0­85+;6;7;4;7
Antal patienter;L01ED04 Brigatinib;Jönköpings län;Båda könen;0­85+;3;2;1;1
Antal patienter;L01ED04 Brigatinib;Kronobergs län;Båda könen;0­85+;1;2;1;0
Antal patienter;L01ED04 Brigatinib;Kalmar län;Båda könen;0­85+;2;2;5;5
Antal patienter;L01ED04 Brigatinib;Gotlands län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01ED04 Brigatinib;Blekinge län;Båda könen;0­85+;1;0;0;0
Antal patienter;L01ED04 Brigatinib;Skåne län;Båda könen;0­85+;7;8;10;10
Antal patienter;L01ED04 Brigatinib;Hallands län;Båda könen;0­85+;4;2;2;5
Antal patienter;L01ED04 Brigatinib;Västra Götalands län;Båda könen;0­85+;4;3;2;2
Antal patienter;L01ED04 Brigatinib;Värmlands län;Båda könen;0­85+;3;6;6;4
Antal patienter;L01ED04 Brigatinib;Örebro län;Båda könen;0­85+;0;0;2;3
Antal patienter;L01ED04 Brigatinib;Västmanlands län;Båda könen;0­85+;1;1;1;1
Antal patienter;L01ED04 Brigatinib;Dalarnas län;Båda könen;0­85+;0;0;0;1
Antal patienter;L01ED04 Brigatinib;Gävleborgs län;Båda könen;0­85+;0;0;2;3
Antal patienter;L01ED04 Brigatinib;Västernorrlands län;Båda könen;0­85+;1;1;1;0
Antal patienter;L01ED04 Brigatinib;Jämtlands län;Båda könen;0­85+;1;0;0;0
Antal patienter;L01ED04 Brigatinib;Västerbottens län;Båda könen;0­85+;1;2;3;1
Antal patienter;L01ED04 Brigatinib;Norrbottens län;Båda könen;0­85+;2;1;1;1
Socialstyrelsens statistikdatabas 2026-04-24
