Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2021;2022;2023;2024
Antal patienter;L01EF01 Palbociklib;Stockholms län;Båda könen;0­85+;232;241;181;155
Antal patienter;L01EF01 Palbociklib;Uppsala län;Båda könen;0­85+;60;49;45;43
Antal patienter;L01EF01 Palbociklib;Södermanlands län;Båda könen;0­85+;33;30;26;20
Antal patienter;L01EF01 Palbociklib;Östergötlands län;Båda könen;0­85+;72;68;59;35
Antal patienter;L01EF01 Palbociklib;Jönköpings län;Båda könen;0­85+;24;20;18;13
Antal patienter;L01EF01 Palbociklib;Kronobergs län;Båda könen;0­85+;20;25;22;23
Antal patienter;L01EF01 Palbociklib;Kalmar län;Båda könen;0­85+;24;25;16;12
Antal patienter;L01EF01 Palbociklib;Gotlands län;Båda könen;0­85+;6;9;8;6
Antal patienter;L01EF01 Palbociklib;Blekinge län;Båda könen;0­85+;7;6;6;10
Antal patienter;L01EF01 Palbociklib;Skåne län;Båda könen;0­85+;141;202;181;148
Antal patienter;L01EF01 Palbociklib;Hallands län;Båda könen;0­85+;52;66;62;58
Antal patienter;L01EF01 Palbociklib;Västra Götalands län;Båda könen;0­85+;219;234;199;140
Antal patienter;L01EF01 Palbociklib;Värmlands län;Båda könen;0­85+;10;17;11;6
Antal patienter;L01EF01 Palbociklib;Örebro län;Båda könen;0­85+;21;18;18;13
Antal patienter;L01EF01 Palbociklib;Västmanlands län;Båda könen;0­85+;30;36;26;11
Antal patienter;L01EF01 Palbociklib;Dalarnas län;Båda könen;0­85+;16;21;20;14
Antal patienter;L01EF01 Palbociklib;Gävleborgs län;Båda könen;0­85+;26;17;13;5
Antal patienter;L01EF01 Palbociklib;Västernorrlands län;Båda könen;0­85+;18;18;20;20
Antal patienter;L01EF01 Palbociklib;Jämtlands län;Båda könen;0­85+;8;7;9;7
Antal patienter;L01EF01 Palbociklib;Västerbottens län;Båda könen;0­85+;6;10;14;12
Antal patienter;L01EF01 Palbociklib;Norrbottens län;Båda könen;0­85+;6;3;2;2
Socialstyrelsens statistikdatabas 2026-04-24
