Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2021;2022;2023;2024
Antal patienter;L01EH03 Tukatinib;Stockholms län;Båda könen;0­85+;0;3;11;15
Antal patienter;L01EH03 Tukatinib;Uppsala län;Båda könen;0­85+;0;1;2;1
Antal patienter;L01EH03 Tukatinib;Södermanlands län;Båda könen;0­85+;0;0;1;1
Antal patienter;L01EH03 Tukatinib;Östergötlands län;Båda könen;0­85+;0;0;3;2
Antal patienter;L01EH03 Tukatinib;Jönköpings län;Båda könen;0­85+;0;0;2;2
Antal patienter;L01EH03 Tukatinib;Kronobergs län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01EH03 Tukatinib;Kalmar län;Båda könen;0­85+;0;0;1;1
Antal patienter;L01EH03 Tukatinib;Gotlands län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01EH03 Tukatinib;Blekinge län;Båda könen;0­85+;0;1;0;0
Antal patienter;L01EH03 Tukatinib;Skåne län;Båda könen;0­85+;0;0;3;4
Antal patienter;L01EH03 Tukatinib;Hallands län;Båda könen;0­85+;0;0;1;3
Antal patienter;L01EH03 Tukatinib;Västra Götalands län;Båda könen;0­85+;0;5;11;16
Antal patienter;L01EH03 Tukatinib;Värmlands län;Båda könen;0­85+;0;1;1;1
Antal patienter;L01EH03 Tukatinib;Örebro län;Båda könen;0­85+;0;1;6;4
Antal patienter;L01EH03 Tukatinib;Västmanlands län;Båda könen;0­85+;0;1;3;4
Antal patienter;L01EH03 Tukatinib;Dalarnas län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01EH03 Tukatinib;Gävleborgs län;Båda könen;0­85+;0;0;0;1
Antal patienter;L01EH03 Tukatinib;Västernorrlands län;Båda könen;0­85+;0;1;1;1
Antal patienter;L01EH03 Tukatinib;Jämtlands län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01EH03 Tukatinib;Västerbottens län;Båda könen;0­85+;0;0;0;2
Antal patienter;L01EH03 Tukatinib;Norrbottens län;Båda könen;0­85+;0;0;0;0
Socialstyrelsens statistikdatabas 2026-04-24
