Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2021;2022;2023;2024
Antal patienter;L01XK04 Talazoparib;Stockholms län;Båda könen;0­85+;1;3;3;6
Antal patienter;L01XK04 Talazoparib;Uppsala län;Båda könen;0­85+;0;0;0;2
Antal patienter;L01XK04 Talazoparib;Södermanlands län;Båda könen;0­85+;0;1;1;0
Antal patienter;L01XK04 Talazoparib;Östergötlands län;Båda könen;0­85+;0;0;4;3
Antal patienter;L01XK04 Talazoparib;Jönköpings län;Båda könen;0­85+;0;0;0;2
Antal patienter;L01XK04 Talazoparib;Kronobergs län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01XK04 Talazoparib;Kalmar län;Båda könen;0­85+;1;0;0;0
Antal patienter;L01XK04 Talazoparib;Gotlands län;Båda könen;0­85+;0;1;0;0
Antal patienter;L01XK04 Talazoparib;Blekinge län;Båda könen;0­85+;0;0;0;1
Antal patienter;L01XK04 Talazoparib;Skåne län;Båda könen;0­85+;0;1;2;7
Antal patienter;L01XK04 Talazoparib;Hallands län;Båda könen;0­85+;1;0;2;1
Antal patienter;L01XK04 Talazoparib;Västra Götalands län;Båda könen;0­85+;1;5;1;5
Antal patienter;L01XK04 Talazoparib;Värmlands län;Båda könen;0­85+;0;1;2;0
Antal patienter;L01XK04 Talazoparib;Örebro län;Båda könen;0­85+;0;0;1;1
Antal patienter;L01XK04 Talazoparib;Västmanlands län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01XK04 Talazoparib;Dalarnas län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01XK04 Talazoparib;Gävleborgs län;Båda könen;0­85+;1;1;1;3
Antal patienter;L01XK04 Talazoparib;Västernorrlands län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01XK04 Talazoparib;Jämtlands län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01XK04 Talazoparib;Västerbottens län;Båda könen;0­85+;0;0;0;0
Antal patienter;L01XK04 Talazoparib;Norrbottens län;Båda könen;0­85+;0;0;0;0
Socialstyrelsens statistikdatabas 2026-04-24
