Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2021;2022;2023;2024
Antal patienter;N02CD06 Rimegepant;Stockholms län;Båda könen;0­85+;0;15;149;974
Antal patienter;N02CD06 Rimegepant;Uppsala län;Båda könen;0­85+;0;0;13;69
Antal patienter;N02CD06 Rimegepant;Södermanlands län;Båda könen;0­85+;0;0;7;65
Antal patienter;N02CD06 Rimegepant;Östergötlands län;Båda könen;0­85+;0;0;8;53
Antal patienter;N02CD06 Rimegepant;Jönköpings län;Båda könen;0­85+;0;1;3;86
Antal patienter;N02CD06 Rimegepant;Kronobergs län;Båda könen;0­85+;0;0;7;18
Antal patienter;N02CD06 Rimegepant;Kalmar län;Båda könen;0­85+;0;1;2;25
Antal patienter;N02CD06 Rimegepant;Gotlands län;Båda könen;0­85+;0;1;3;15
Antal patienter;N02CD06 Rimegepant;Blekinge län;Båda könen;0­85+;0;0;6;21
Antal patienter;N02CD06 Rimegepant;Skåne län;Båda könen;0­85+;0;22;145;435
Antal patienter;N02CD06 Rimegepant;Hallands län;Båda könen;0­85+;0;0;12;85
Antal patienter;N02CD06 Rimegepant;Västra Götalands län;Båda könen;0­85+;0;6;103;624
Antal patienter;N02CD06 Rimegepant;Värmlands län;Båda könen;0­85+;0;0;5;25
Antal patienter;N02CD06 Rimegepant;Örebro län;Båda könen;0­85+;0;0;3;20
Antal patienter;N02CD06 Rimegepant;Västmanlands län;Båda könen;0­85+;0;0;1;27
Antal patienter;N02CD06 Rimegepant;Dalarnas län;Båda könen;0­85+;0;0;2;17
Antal patienter;N02CD06 Rimegepant;Gävleborgs län;Båda könen;0­85+;0;0;4;28
Antal patienter;N02CD06 Rimegepant;Västernorrlands län;Båda könen;0­85+;0;0;3;34
Antal patienter;N02CD06 Rimegepant;Jämtlands län;Båda könen;0­85+;0;0;0;12
Antal patienter;N02CD06 Rimegepant;Västerbottens län;Båda könen;0­85+;0;0;4;22
Antal patienter;N02CD06 Rimegepant;Norrbottens län;Båda könen;0­85+;0;0;5;20
Socialstyrelsens statistikdatabas 2026-04-24
