Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2021;2022;2023;2024
Antal patienter;N07XX08 Tafamidis;Stockholms län;Båda könen;0­85+;9;30;61;82
Antal patienter;N07XX08 Tafamidis;Uppsala län;Båda könen;0­85+;0;3;7;12
Antal patienter;N07XX08 Tafamidis;Södermanlands län;Båda könen;0­85+;0;2;3;7
Antal patienter;N07XX08 Tafamidis;Östergötlands län;Båda könen;0­85+;0;3;9;11
Antal patienter;N07XX08 Tafamidis;Jönköpings län;Båda könen;0­85+;1;2;5;6
Antal patienter;N07XX08 Tafamidis;Kronobergs län;Båda könen;0­85+;3;10;14;15
Antal patienter;N07XX08 Tafamidis;Kalmar län;Båda könen;0­85+;0;2;7;10
Antal patienter;N07XX08 Tafamidis;Gotlands län;Båda könen;0­85+;1;2;2;2
Antal patienter;N07XX08 Tafamidis;Blekinge län;Båda könen;0­85+;2;3;3;5
Antal patienter;N07XX08 Tafamidis;Skåne län;Båda könen;0­85+;6;23;41;50
Antal patienter;N07XX08 Tafamidis;Hallands län;Båda könen;0­85+;1;8;13;24
Antal patienter;N07XX08 Tafamidis;Västra Götalands län;Båda könen;0­85+;0;16;39;46
Antal patienter;N07XX08 Tafamidis;Värmlands län;Båda könen;0­85+;1;2;7;7
Antal patienter;N07XX08 Tafamidis;Örebro län;Båda könen;0­85+;0;1;0;0
Antal patienter;N07XX08 Tafamidis;Västmanlands län;Båda könen;0­85+;1;3;6;8
Antal patienter;N07XX08 Tafamidis;Dalarnas län;Båda könen;0­85+;2;3;5;8
Antal patienter;N07XX08 Tafamidis;Gävleborgs län;Båda könen;0­85+;2;6;6;9
Antal patienter;N07XX08 Tafamidis;Västernorrlands län;Båda könen;0­85+;3;4;8;7
Antal patienter;N07XX08 Tafamidis;Jämtlands län;Båda könen;0­85+;1;4;7;10
Antal patienter;N07XX08 Tafamidis;Västerbottens län;Båda könen;0­85+;19;48;75;67
Antal patienter;N07XX08 Tafamidis;Norrbottens län;Båda könen;0­85+;32;54;78;77
Socialstyrelsens statistikdatabas 2026-04-24
